C59-A_1	C59-A_2	C59-A_3	C59-C_1	C59-C_2	C59-C_3	C59-D_1	C59-D_2	C59-D_3	C59-D2_1	C59-D2_2	C59-D2_3	C59-E_1	C59-E_2	C59-E_3	C59-F-L1_1	C59-F-L1_2	C59-F-L1_3	C59-F-L2_1	C59-G_1	C59-G_2	C59-G_3	C59-H_1	C59-H_2	C59-H_3	C59-I_1	C59-I_2	C59-I_3	C59-J_1	C59-J_2	C59-J_3	C59-M_1	C59-M_2	C59-M_3	C59-N_1	C59-N_2	C59-N_3
7926	7344	5811	5305	3693	5391	5822	4779	5183	4355	2624	5349	337	617	421	763	452	1102	730	1882	1236	1192	2086	1190	2857	1459	1286	1429	1969	1932	3404	495	408	620	1781	976	2074
14054	13436	11108	10043	6761	10331	11533	9771	9903	9005	5777	10192	694	1228	990	1299	999	1996	717	3682	2612	2306	4687	2627	5200	3285	3199	3127	4342	3862	6428	1063	892	1340	3516	2249	4057
17508	16779	14434	12895	9248	13407	15389	12817	12481	11845	7514	13596	916	1616	1370	1674	1393	2629	528	4697	3432	2895	6233	3665	6733	4526	4510	4100	6168	5538	8623	1490	1286	1840	4718	3074	5491
15040	14762	13030	11485	8256	12145	14042	12195	11827	10745	7270	12534	894	1497	1270	1459	1269	2424	303	4309	3012	2644	5838	3601	6272	4506	4630	3839	5861	5059	7733	1415	1348	1841	4479	3011	5127
8949	8581	7604	6317	4821	7127	8095	7255	7043	6620	4472	7576	546	831	801	817	738	1469	180	2466	1858	1618	3872	2244	3550	3109	3220	2142	3628	3266	4456	939	844	1234	2641	1962	3174
2370	2042	2005	1885	1318	1935	2248	2439	2262	1889	1360	2174	114	177	261	168	132	465	152	783	535	512	1185	536	1086	1340	1300	369	1224	867	1174	429	268	450	693	630	1028
1938	1662	1475	1286	901	1523	1554	1546	1379	1179	848	1449	0	115	71	110	53	239	135	550	283	334	816	326	765	694	572	283	865	484	871	253	89	135	365	248	553
3196	2829	2508	2166	1503	2394	2427	2195	1884	2101	1284	2201	69	172	142	129	75	288	96	725	391	480	1048	535	1149	743	766	496	1127	898	1337	184	125	197	716	395	763
3245	2580	2629	2232	1499	2173	2815	2335	2277	2346	1158	2751	99	159	139	140	121	299	0	836	454	503	1185	552	1198	734	801	574	1055	809	1611	208	148	222	731	420	849
2313	1784	1747	1557	1072	1478	1845	1570	1438	1430	830	1814	58	128	118	103	94	218	0	527	349	292	835	398	817	513	528	330	686	614	1007	138	79	116	518	274	532
