	Liv1a	Liv1b	Liv1c	Liv2a	Liv3a	Liv3b	Liv3c	Liv3d	LN1	LN2	LN3	LN4	Normal1	PT1	PT2	PT3	PT4
Liv1a	0	0.376302445140179	0.338718079354511	0.481500026788531	0.730503779610295	0.440714770178083	0.528015399123987	0.528124974857984	0.647671417123192	0.523096935076961	0.336805476430928	0.589523646112848	1.0471975511966	0.834460919842962	0.834077110272793	0.862519464801351	0.823886921903016
Liv1b	0.376302445140179	0	0.182564357233212	0.325579044032668	0.65988175505907	0.42521319006591	0.517117579287521	0.539401160073606	0.598305712893497	0.314118949662021	0.305840518192448	0.563516176351676	1.0471975511966	0.890836569114785	0.819139410242081	0.963897083277556	0.671469134187458
Liv1c	0.338718079354511	0.182564357233212	0	0.285628202144084	0.665790899102257	0.311080898490444	0.417100877387539	0.453742074751149	0.556129686907483	0.271813840037273	0.208860554441648	0.438559689514908	1.0471975511966	0.790413315336443	0.752900154216274	0.87317228762183	0.703579944651428
Liv2a	0.481500026788531	0.325579044032668	0.285628202144084	0	0.59629210770108	0.357556232760712	0.404296633719048	0.430201444169362	0.56475685011321	0.216494741070912	0.341533862746955	0.486155890501405	1.0471975511966	0.961044265085448	0.83361678898386	1.01792459104524	0.629005818768674
Liv3a	0.730503779610295	0.65988175505907	0.665790899102257	0.59629210770108	0	0.554438886592257	0.44798156494888	0.696236614519375	0.834445195469668	0.621773845275827	0.725217871848736	0.655033810221526	1.0471975511966	0.958782553336192	0.720667696906842	1.02788837810073	0.697701648981569
Liv3b	0.440714770178083	0.42521319006591	0.311080898490444	0.357556232760712	0.554438886592257	0	0.294994237535447	0.369129858632812	0.631362537797269	0.372777615532059	0.355805484636425	0.246030663545483	1.0471975511966	0.683725122175911	0.619269822667965	0.769015713720077	0.70160982333669
Liv3c	0.528015399123987	0.517117579287521	0.417100877387539	0.404296633719048	0.44798156494888	0.294994237535447	0	0.453260909848717	0.630075425559359	0.42335619180637	0.473948829240316	0.362841098806118	1.0471975511966	0.782493818242933	0.642950254588709	0.803782698384914	0.779870135228834
Liv3d	0.528124974857984	0.539401160073606	0.453742074751149	0.430201444169362	0.696236614519375	0.369129858632812	0.453260909848717	0	0.609168094885545	0.392655903833795	0.403960013950686	0.402774467548734	1.0471975511966	0.834324406969696	0.699925288701948	0.893303009147884	0.735621690840718
LN1	0.647671417123192	0.598305712893497	0.556129686907483	0.56475685011321	0.834445195469668	0.631362537797269	0.630075425559359	0.609168094885545	0	0.48228440915065	0.496545435795114	0.621685598332924	1.0471975511966	0.968230992359047	1.00504741727406	1.11273013588132	0.723583947941718
LN2	0.523096935076961	0.314118949662021	0.271813840037273	0.216494741070912	0.621773845275827	0.372777615532059	0.42335619180637	0.392655903833795	0.48228440915065	0	0.300185313215214	0.453477781646939	1.0471975511966	0.934088749147291	0.819160123618056	1.0368849648835	0.622195626905245
LN3	0.336805476430928	0.305840518192448	0.208860554441648	0.341533862746955	0.725217871848736	0.355805484636425	0.473948829240316	0.403960013950686	0.496545435795114	0.300185313215214	0	0.43594262501675	1.0471975511966	0.814647253978322	0.848235610048764	0.934676226795722	0.774255880631953
LN4	0.589523646112848	0.563516176351676	0.438559689514908	0.486155890501405	0.655033810221526	0.246030663545483	0.362841098806118	0.402774467548734	0.621685598332924	0.453477781646939	0.43594262501675	0	1.0471975511966	0.606664085623248	0.600584800099861	0.699807515292335	0.7800170266249
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.834460919842962	0.890836569114785	0.790413315336443	0.961044265085448	0.958782553336192	0.683725122175911	0.782493818242933	0.834324406969696	0.968230992359047	0.934088749147291	0.814647253978322	0.606664085623248	1.0471975511966	0	0.554405247263108	0.505452974756232	1.07586591281202
PT2	0.834077110272793	0.819139410242081	0.752900154216274	0.83361678898386	0.720667696906842	0.619269822667965	0.642950254588709	0.699925288701948	1.00504741727406	0.819160123618056	0.848235610048764	0.600584800099861	1.0471975511966	0.554405247263108	0	0.588373197608435	0.84607440193958
PT3	0.862519464801351	0.963897083277556	0.87317228762183	1.01792459104524	1.02788837810073	0.769015713720077	0.803782698384914	0.893303009147884	1.11273013588132	1.0368849648835	0.934676226795722	0.699807515292335	1.0471975511966	0.505452974756232	0.588373197608435	0	1.19620959446546
PT4	0.823886921903016	0.671469134187458	0.703579944651428	0.629005818768674	0.697701648981569	0.70160982333669	0.779870135228834	0.735621690840718	0.723583947941718	0.622195626905245	0.774255880631953	0.7800170266249	1.0471975511966	1.07586591281202	0.84607440193958	1.19620959446546	0
