	LN1	Normal1	OvH1a	OvH1b	OvH2a	OvH2b	Per1	Per2a	Per2b	Per2c	Per3	Per4a	Per4b	PT1	PT2	PT3	PT4	PT5	PT6
LN1	0	1.0471975511966	0.406757263915069	0.301716582389911	0.358501796591223	0.350154252299874	0.522505806053557	0.430309887668121	0.344110937135504	0.41580131637666	0.39135148789988	0.356842492477321	0.275330244589355	0.461808677572112	0.238281935528623	0.478294161233696	0.596229908509669	0.321724538480328	0.38286535046643
Normal1	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.406757263915069	1.0471975511966	0	0.395049308734904	0.342782008080243	0.360068701166757	0.473036732169917	0.491162495883054	0.450492661505743	0.476263238661078	0.402549714445457	0.344985976101127	0.432860518912224	0.467347694552131	0.371242699228826	0.494549092492597	0.634295697341673	0.428912897683733	0.431437491301727
OvH1b	0.301716582389911	1.0471975511966	0.395049308734904	0	0.202777000315115	0.21763209268034	0.418644286341228	0.32769870196102	0.172256252102569	0.249317369302446	0.246331269529107	0.271449718002564	0.173670564438055	0.420198520308178	0.290051916668274	0.336944965712011	0.454783681321445	0.28062716354395	0.25103529677332
OvH2a	0.358501796591223	1.0471975511966	0.342782008080243	0.202777000315115	0	0.137350313366052	0.367036076106447	0.36548754628028	0.197614030096126	0.255627765511601	0.198138241483649	0.185888909158165	0.248316624185969	0.347574743640902	0.304717686476406	0.255023688208871	0.503545112114011	0.268258439580687	0.22122297397589
OvH2b	0.350154252299874	1.0471975511966	0.360068701166757	0.21763209268034	0.137350313366052	0	0.467762517537378	0.433780592445493	0.212268224234625	0.322146382079589	0.224169180956684	0.183357572281542	0.208204221277113	0.391406197443943	0.297421836378593	0.326732560470902	0.540672313048493	0.220574655082389	0.250878533830986
Per1	0.522505806053557	1.0471975511966	0.473036732169917	0.418644286341228	0.367036076106447	0.467762517537378	0	0.291525057069573	0.442260076367695	0.357897040783984	0.352844881446547	0.404942333678574	0.521463164745332	0.443899325729818	0.449230833943098	0.314741118265304	0.445996588832873	0.548104483700093	0.401237533500764
Per2a	0.430309887668121	1.0471975511966	0.491162495883054	0.32769870196102	0.36548754628028	0.433780592445493	0.291525057069573	0	0.356596598230177	0.277101668469207	0.358501175702291	0.412482376650809	0.414200076000737	0.473563886879666	0.441217682756032	0.393791605556928	0.443261149470501	0.511188268853951	0.367349268445548
Per2b	0.344110937135504	1.0471975511966	0.450492661505743	0.172256252102569	0.197614030096126	0.212268224234625	0.442260076367695	0.356596598230177	0	0.251506739885862	0.235878973442879	0.263651532118128	0.210131092004253	0.414686151566549	0.337674772637528	0.31869686705329	0.446786333040133	0.303359140126462	0.249796612261678
Per2c	0.41580131637666	1.0471975511966	0.476263238661078	0.249317369302446	0.255627765511601	0.322146382079589	0.357897040783984	0.277101668469207	0.251506739885862	0	0.256319856856011	0.32369016508495	0.331831887271818	0.417093491465989	0.392467412496833	0.295751428924161	0.422743555109645	0.37683648556555	0.21879033628801
Per3	0.39135148789988	1.0471975511966	0.402549714445457	0.246331269529107	0.198138241483649	0.224169180956684	0.352844881446547	0.358501175702291	0.235878973442879	0.256319856856011	0	0.13776390464026	0.320584057067755	0.379672244355369	0.270915840125314	0.234505112664009	0.435923584079466	0.28572817862475	0.1787117996379
Per4a	0.356842492477321	1.0471975511966	0.344985976101127	0.271449718002564	0.185888909158165	0.183357572281542	0.404942333678574	0.412482376650809	0.263651532118128	0.32369016508495	0.13776390464026	0	0.307856102919456	0.346103514057191	0.236501670245927	0.292180080858819	0.514976065816107	0.217445506901753	0.197444052048429
Per4b	0.275330244589355	1.0471975511966	0.432860518912224	0.173670564438055	0.248316624185969	0.208204221277113	0.521463164745332	0.414200076000737	0.210131092004253	0.331831887271818	0.320584057067755	0.307856102919456	0	0.456537777028949	0.314674102310698	0.384304372320821	0.553963921688537	0.25992311545913	0.309979961880157
PT1	0.461808677572112	1.0471975511966	0.467347694552131	0.420198520308178	0.347574743640902	0.391406197443943	0.443899325729818	0.473563886879666	0.414686151566549	0.417093491465989	0.379672244355369	0.346103514057191	0.456537777028949	0	0.382911840261048	0.417157427600635	0.57641800141775	0.400034028233354	0.339992978891026
PT2	0.238281935528623	1.0471975511966	0.371242699228826	0.290051916668274	0.304717686476406	0.297421836378593	0.449230833943098	0.441217682756032	0.337674772637528	0.392467412496833	0.270915840125314	0.236501670245927	0.314674102310698	0.382911840261048	0	0.379286914731098	0.547651842765076	0.250904287203662	0.310004599070839
PT3	0.478294161233696	1.0471975511966	0.494549092492597	0.336944965712011	0.255023688208871	0.326732560470902	0.314741118265304	0.393791605556928	0.31869686705329	0.295751428924161	0.234505112664009	0.292180080858819	0.384304372320821	0.417157427600635	0.379286914731098	0	0.446462530527768	0.40588433355945	0.328567333108718
