	LN1	LN2	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH1e	OvH1f	OvH1g	OvH1h	PT1	PT2	PT3	PT4
LN1	0	0.554267082530108	1.0471975511966	0.414852238766818	0.413270901377529	0.526207180816877	0.533619861171122	0.467048689627322	0.505535808236664	0.510348403187786	0.548046366940364	0.371875854904743	0.474598674717399	0.446554313511333	0.677101071512215
LN2	0.554267082530108	0	1.0471975511966	0.447946843835502	0.389019907447543	0.406875292667621	0.424530816929612	0.320496634781745	0.382447178498355	0.453428686001442	0.332404316986727	0.329710989962411	0.414928092097252	0.292535334080689	0.458023102751903
Normal1	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.414852238766818	0.447946843835502	1.0471975511966	0	0.309975037746557	0.312338192281871	0.351193041366005	0.280706693670441	0.314553887342025	0.318797461025177	0.422116764713675	0.325341209236117	0.339808365309548	0.366840100527048	0.538283258192127
OvH1b	0.413270901377529	0.389019907447543	1.0471975511966	0.309975037746557	0	0.308181475300765	0.376733629550459	0.188658780460339	0.349350461487452	0.324582219338512	0.37936109180695	0.380007287336741	0.420869616637943	0.420825745142377	0.607648002730014
OvH1c	0.526207180816877	0.406875292667621	1.0471975511966	0.312338192281871	0.308181475300765	0	0.140395372418009	0.226758707118492	0.19162039350218	0.196840505881947	0.281985681217234	0.319116424245123	0.289685590782698	0.307368778029458	0.503747965375508
OvH1d	0.533619861171122	0.424530816929612	1.0471975511966	0.351193041366005	0.376733629550459	0.140395372418009	0	0.300173667144236	0.192995743094279	0.156733793040948	0.315961818750546	0.291860363566131	0.274313173823007	0.28934809430922	0.506493554979057
OvH1e	0.467048689627322	0.320496634781745	1.0471975511966	0.280706693670441	0.188658780460339	0.226758707118492	0.300173667144236	0	0.307184838606795	0.295703274796777	0.277421488916783	0.331277990044256	0.380846268796181	0.329723124471621	0.526952722572702
OvH1f	0.505535808236664	0.382447178498355	1.0471975511966	0.314553887342025	0.349350461487452	0.19162039350218	0.192995743094279	0.307184838606795	0	0.192626593797449	0.352195893288741	0.298158150642309	0.273005090949052	0.29321875375428	0.514265814531968
OvH1g	0.510348403187786	0.453428686001442	1.0471975511966	0.318797461025177	0.324582219338512	0.196840505881947	0.156733793040948	0.295703274796777	0.192626593797449	0	0.389911664667596	0.332994603406535	0.311516580249059	0.359960474672644	0.588101450226637
OvH1h	0.548046366940364	0.332404316986727	1.0471975511966	0.422116764713675	0.37936109180695	0.281985681217234	0.315961818750546	0.277421488916783	0.352195893288741	0.389911664667596	0	0.375643177677192	0.458170338444768	0.338481376626645	0.507437644239955
PT1	0.371875854904743	0.329710989962411	1.0471975511966	0.325341209236117	0.380007287336741	0.319116424245123	0.291860363566131	0.331277990044256	0.298158150642309	0.332994603406535	0.375643177677192	0	0.206433790355463	0.184679722875768	0.469352119435526
PT2	0.474598674717399	0.414928092097252	1.0471975511966	0.339808365309548	0.420869616637943	0.289685590782698	0.274313173823007	0.380846268796181	0.273005090949052	0.311516580249059	0.458170338444768	0.206433790355463	0	0.243793837979384	0.468456030772086
PT3	0.446554313511333	0.292535334080689	1.0471975511966	0.366840100527048	0.420825745142377	0.307368778029458	0.28934809430922	0.329723124471621	0.29321875375428	0.359960474672644	0.338481376626645	0.184679722875768	0.243793837979384	0	0.384352462152906
PT4	0.677101071512215	0.458023102751903	1.0471975511966	0.538283258192127	0.607648002730014	0.503747965375508	0.506493554979057	0.526952722572702	0.514265814531968	0.588101450226637	0.507437644239955	0.469352119435526	0.468456030772086	0.384352462152906	0
