	Liv1	Liv2	LN1	LN2	LN3	LN4	Normal1	PT1	PT2	PT3
Liv1	0	0.233973476408067	0.31974630905793	0.45728420950916	0.412563133118391	0.307867923945288	1.0471975511966	0.339994780752732	0.511864254975855	0.467561097944058
Liv2	0.233973476408067	0	0.305348162758261	0.41650801782539	0.407427586006421	0.22703207051197	1.0471975511966	0.225451409013804	0.573429056610762	0.379974674794633
LN1	0.31974630905793	0.305348162758261	0	0.419511157972548	0.35581210315765	0.331785439249084	1.0471975511966	0.298720802155652	0.494368419671819	0.423191577542058
LN2	0.45728420950916	0.41650801782539	0.419511157972548	0	0.422732450674123	0.423201750382327	1.0471975511966	0.469574493760068	0.603860686392303	0.52081334886367
LN3	0.412563133118391	0.407427586006421	0.35581210315765	0.422732450674123	0	0.314865276409566	1.0471975511966	0.408416390860309	0.538349560621712	0.369088398243211
LN4	0.307867923945288	0.22703207051197	0.331785439249084	0.423201750382327	0.314865276409566	0	1.0471975511966	0.247794359985038	0.536725471881826	0.305319354212132
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.339994780752732	0.225451409013804	0.298720802155652	0.469574493760068	0.408416390860309	0.247794359985038	1.0471975511966	0	0.582916194393931	0.348938720564717
PT2	0.511864254975855	0.573429056610762	0.494368419671819	0.603860686392303	0.538349560621712	0.536725471881826	1.0471975511966	0.582916194393931	0	0.701743131417689
PT3	0.467561097944058	0.379974674794633	0.423191577542058	0.52081334886367	0.369088398243211	0.305319354212132	1.0471975511966	0.348938720564717	0.701743131417689	0
