	LN1	Normal1	Per1	Per2	Per3	PT1	PT2	PT3	PT4	PT5
LN1	0	1.0471975511966	0.152600280751198	0.184398479709117	0.22923556619269	0.22480213908563	0.213966093063269	0.219832505328137	0.23887020026011	0.250654507115513
Normal1	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.152600280751198	1.0471975511966	0	0.103230309806054	0.199058972382116	0.22846040332599	0.198243750014924	0.225145531631603	0.253151977593417	0.2532181796433
Per2	0.184398479709117	1.0471975511966	0.103230309806054	0	0.149208739597531	0.22698207743335	0.199429424588922	0.216051997419617	0.217309540464956	0.247464584896862
Per3	0.22923556619269	1.0471975511966	0.199058972382116	0.149208739597531	0	0.23354484209215	0.224288246692619	0.189908982238356	0.207353615590209	0.219086935376692
PT1	0.22480213908563	1.0471975511966	0.22846040332599	0.22698207743335	0.23354484209215	0	0.170345774682385	0.12529784608996	0.226890717548082	0.113593536749615
PT2	0.213966093063269	1.0471975511966	0.198243750014924	0.199429424588922	0.224288246692619	0.170345774682385	0	0.132451097777931	0.155706726984315	0.171186734206634
PT3	0.219832505328137	1.0471975511966	0.225145531631603	0.216051997419617	0.189908982238356	0.12529784608996	0.132451097777931	0	0.192236977541278	0.11920420748945
PT4	0.23887020026011	1.0471975511966	0.253151977593417	0.217309540464956	0.207353615590209	0.226890717548082	0.155706726984315	0.192236977541278	0	0.235295448863205
PT5	0.250654507115513	1.0471975511966	0.2532181796433	0.247464584896862	0.219086935376692	0.113593536749615	0.171186734206634	0.11920420748945	0.235295448863205	0
