	Liv1a	Liv1b	Liv1c	LN1	LN2	LN3	Normal1	PT1	PT2	PT3	PT4	PT5
Liv1a	0	0.119588309585837	0.239495379565439	0.273842554628675	0.369314046904536	0.416036330157479	1.0471975511966	0.279458933687501	0.27432734080793	0.420925591759009	0.297779969700175	0.298095288588489
Liv1b	0.119588309585837	0	0.219511158837216	0.301743250178609	0.375787650529161	0.43741701828445	1.0471975511966	0.300217795124003	0.290075784992483	0.44412579224087	0.323909646190713	0.293067550256577
Liv1c	0.239495379565439	0.219511158837216	0	0.363105272269738	0.41676611374696	0.492823793212702	1.0471975511966	0.330011331969131	0.342191182059304	0.500038654927032	0.396249273473266	0.335447349546883
LN1	0.273842554628675	0.301743250178609	0.363105272269738	0	0.232471203575536	0.319608474417021	1.0471975511966	0.297619364302047	0.191077039336075	0.429129110906468	0.246794197688539	0.215187964788168
LN2	0.369314046904536	0.375787650529161	0.41676611374696	0.232471203575536	0	0.245862603984502	1.0471975511966	0.373863171764169	0.299974703025462	0.451699335192452	0.33398721010101	0.280899045523788
LN3	0.416036330157479	0.43741701828445	0.492823793212702	0.319608474417021	0.245862603984502	0	1.0471975511966	0.448101311085463	0.386530798908304	0.480995968008937	0.408838410645349	0.391404729774086
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.279458933687501	0.300217795124003	0.330011331969131	0.297619364302047	0.373863171764169	0.448101311085463	1.0471975511966	0	0.186019021931575	0.248173034196797	0.224390416103178	0.230625393906942
PT2	0.27432734080793	0.290075784992483	0.342191182059304	0.191077039336075	0.299974703025462	0.386530798908304	1.0471975511966	0.186019021931575	0	0.344266872653682	0.189555195777812	0.120808366625245
PT3	0.420925591759009	0.44412579224087	0.500038654927032	0.429129110906468	0.451699335192452	0.480995968008937	1.0471975511966	0.248173034196797	0.344266872653682	0	0.324365209058507	0.389177212482182
PT4	0.297779969700175	0.323909646190713	0.396249273473266	0.246794197688539	0.33398721010101	0.408838410645349	1.0471975511966	0.224390416103178	0.189555195777812	0.324365209058507	0	0.22427953198005
PT5	0.298095288588489	0.293067550256577	0.335447349546883	0.215187964788168	0.280899045523788	0.391404729774086	1.0471975511966	0.230625393906942	0.120808366625245	0.389177212482182	0.22427953198005	0
