	LN1	LN2	LN3	LN4	LN5	Normal1	PT1	PT2	PT3	PT4
LN1	0	0.402681158784047	0.373929774513308	0.258356449656223	0.303493298453161	1.0471975511966	0.317020434971382	0.313399616241012	0.289000765340807	0.359962835893145
LN2	0.402681158784047	0	0.287854295117616	0.3732442173699	0.467505416106093	1.0471975511966	0.457050431947086	0.485355692646009	0.389305699131781	0.296545603243521
LN3	0.373929774513308	0.287854295117616	0	0.368398372812174	0.299038495064702	1.0471975511966	0.273870066724856	0.342580040120045	0.240845270863245	0.0766942066012963
LN4	0.258356449656223	0.3732442173699	0.368398372812174	0	0.251122008549774	1.0471975511966	0.346850385350666	0.312758793604044	0.336561934798812	0.362828976861506
LN5	0.303493298453161	0.467505416106093	0.299038495064702	0.251122008549774	0	1.0471975511966	0.215649154078897	0.238420264617031	0.264631901750654	0.304124848192827
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.317020434971382	0.457050431947086	0.273870066724856	0.346850385350666	0.215649154078897	1.0471975511966	0	0.152178096081165	0.172168820157342	0.265631144919059
PT2	0.313399616241012	0.485355692646009	0.342580040120045	0.312758793604044	0.238420264617031	1.0471975511966	0.152178096081165	0	0.234787635280379	0.330251581127033
PT3	0.289000765340807	0.389305699131781	0.240845270863245	0.336561934798812	0.264631901750654	1.0471975511966	0.172168820157342	0.234787635280379	0	0.238020012228934
PT4	0.359962835893145	0.296545603243521	0.0766942066012963	0.362828976861506	0.304124848192827	1.0471975511966	0.265631144919059	0.330251581127033	0.238020012228934	0
