	Ld1a	Ld1b	Ld2	Liv1	Liv2	Liv3	LN1	Normal1	PT1	PT2	PT3	PT4	PT5
Ld1a	0	0.194287069410241	0.508697408480071	0.358995784656007	0.253929680374221	0.263434344797833	0.267946667693103	1.0471975511966	0.304856185793229	0.256821516793832	0.396320224013738	0.518544395963338	0.559533777228827
Ld1b	0.194287069410241	0	0.445779195651596	0.274294246600265	0.335189630371661	0.229224763861256	0.270804460045533	1.0471975511966	0.314743654027046	0.215023205745101	0.359739123559435	0.406308438253119	0.491184274166833
Ld2	0.508697408480071	0.445779195651596	0	0.449882782663712	0.468138384428668	0.340568094414982	0.522344159514657	1.0471975511966	0.562831523807693	0.517141168934605	0.573507054772173	0.524413425306391	0.588787926096881
Liv1	0.358995784656007	0.274294246600265	0.449882782663712	0	0.404442871690593	0.292230462667375	0.351921260238026	1.0471975511966	0.418140037684565	0.31477288616776	0.469835621694701	0.467263676770298	0.58077248758276
Liv2	0.253929680374221	0.335189630371661	0.468138384428668	0.404442871690593	0	0.329224454301989	0.237774884944367	1.0471975511966	0.292813055124328	0.327107854470698	0.355146163822406	0.498690780677027	0.490500620059476
Liv3	0.263434344797833	0.229224763861256	0.340568094414982	0.292230462667375	0.329224454301989	0	0.353929396967737	1.0471975511966	0.390475685702917	0.299774272211029	0.444031801022221	0.447302650077248	0.529297441549608
LN1	0.267946667693103	0.270804460045533	0.522344159514657	0.351921260238026	0.237774884944367	0.353929396967737	0	1.0471975511966	0.145110073216833	0.186537745493746	0.190044583092804	0.361032075321818	0.379232404494892
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.304856185793229	0.314743654027046	0.562831523807693	0.418140037684565	0.292813055124328	0.390475685702917	0.145110073216833	1.0471975511966	0	0.15474332976111	0.170148811899238	0.377833751825451	0.395738109193762
PT2	0.256821516793832	0.215023205745101	0.517141168934605	0.31477288616776	0.327107854470698	0.299774272211029	0.186537745493746	1.0471975511966	0.15474332976111	0	0.2521877863061	0.366201021446829	0.436619725851578
PT3	0.396320224013738	0.359739123559435	0.573507054772173	0.469835621694701	0.355146163822406	0.444031801022221	0.190044583092804	1.0471975511966	0.170148811899238	0.2521877863061	0	0.261067186415175	0.24657267993278
PT4	0.518544395963338	0.406308438253119	0.524413425306391	0.467263676770298	0.498690780677027	0.447302650077248	0.361032075321818	1.0471975511966	0.377833751825451	0.366201021446829	0.261067186415175	0	0.187703072138299
PT5	0.559533777228827	0.491184274166833	0.588787926096881	0.58077248758276	0.490500620059476	0.529297441549608	0.379232404494892	1.0471975511966	0.395738109193762	0.436619725851578	0.24657267993278	0.187703072138299	0
