	Liv1	Normal1	PT1	PT10	PT11	PT12	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Liv1	0	1.0471975511966	0.21927049445675	0.219659859144603	0.298780578463746	0.243256972776827	0.116621218333848	0.224710772251046	0.509763864886414	0.223328977561186	0.182046228916345	0.289797567656902	0.181407970046819	0.158526867598578
Normal1	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.21927049445675	1.0471975511966	0	0.280362115675522	0.404200690654105	0.259238135223249	0.207064291502013	0.259648863296512	0.565040161768595	0.266093204500747	0.15705672467921	0.319559797563541	0.215622520998731	0.224932162793208
PT10	0.219659859144603	1.0471975511966	0.280362115675522	0	0.301205986683893	0.329977327696933	0.222973970372452	0.214912359207922	0.423907846146853	0.251645343274541	0.239998555564987	0.264943251273779	0.261359522763368	0.25692028522064
PT11	0.298780578463746	1.0471975511966	0.404200690654105	0.301205986683893	0	0.389860148901098	0.320429305352339	0.290059867060704	0.370080510447011	0.31510009506394	0.387983916495527	0.362302570335658	0.384349447824348	0.33131270226287
PT12	0.243256972776827	1.0471975511966	0.259238135223249	0.329977327696933	0.389860148901098	0	0.231397388412708	0.282907512551963	0.544306923937258	0.244729343654951	0.224110511392012	0.409162388953937	0.277619190895711	0.175591058345961
PT2	0.116621218333848	1.0471975511966	0.207064291502013	0.222973970372452	0.320429305352339	0.231397388412708	0	0.200208452600667	0.501242097804788	0.214986863672094	0.177558125733695	0.305508951006881	0.184081993046349	0.160520051893795
PT3	0.224710772251046	1.0471975511966	0.259648863296512	0.214912359207922	0.290059867060704	0.282907512551963	0.200208452600667	0	0.397646156074485	0.201140544156023	0.249713094891764	0.320547078981597	0.302284278859748	0.240976028844723
PT4	0.509763864886414	1.0471975511966	0.565040161768595	0.423907846146853	0.370080510447011	0.544306923937258	0.501242097804788	0.397646156074485	0	0.487906250746609	0.568611176843007	0.510903213545176	0.548301013457411	0.513684955255637
PT5	0.223328977561186	1.0471975511966	0.266093204500747	0.251645343274541	0.31510009506394	0.244729343654951	0.214986863672094	0.201140544156023	0.487906250746609	0	0.186185234558577	0.308699489230779	0.262077719942867	0.203513362395319
PT6	0.182046228916345	1.0471975511966	0.15705672467921	0.239998555564987	0.387983916495527	0.224110511392012	0.177558125733695	0.249713094891764	0.568611176843007	0.186185234558577	0	0.28332309481115	0.204572483163582	0.199648973556906
PT7	0.289797567656902	1.0471975511966	0.319559797563541	0.264943251273779	0.362302570335658	0.409162388953937	0.305508951006881	0.320547078981597	0.510903213545176	0.308699489230779	0.28332309481115	0	0.317940252193949	0.359264877466346
PT8	0.181407970046819	1.0471975511966	0.215622520998731	0.261359522763368	0.384349447824348	0.277619190895711	0.184081993046349	0.302284278859748	0.548301013457411	0.262077719942867	0.204572483163582	0.317940252193949	0	0.186230407456482
PT9	0.158526867598578	1.0471975511966	0.224932162793208	0.25692028522064	0.33131270226287	0.175591058345961	0.160520051893795	0.240976028844723	0.513684955255637	0.203513362395319	0.199648973556906	0.359264877466346	0.186230407456482	0
