	LN1	LN2	LN3	LN4	LN5	Normal1	PT1	PT2	PT3	PT4	PT5
LN1	0	0.808025044520785	1.2169330663616	0.831150204605265	1.30651292360708	1.0471975511966	0.989597924907351	0.805338671800737	1.11706770836582	0.708485698688648	0.857211159424989
LN2	0.808025044520785	0	0.916006066895368	0.971685430207601	1.47548121114811	1.0471975511966	1.08656542280121	1.04406682253683	1.49692474057738	1.32785630782755	1.10344700278086
LN3	1.2169330663616	0.916006066895368	0	0.885576717709051	1.19336337672808	1.0471975511966	0.939481516088178	1.196399708151	1.29932801484447	1.29066795450698	1.67937966262724
LN4	0.831150204605265	0.971685430207601	0.885576717709051	0	0.931643418319152	1.0471975511966	0.664214990261603	0.639566225292966	1.09165241480223	0.761914030972777	1.03797456125232
LN5	1.30651292360708	1.47548121114811	1.19336337672808	0.931643418319152	0	1.0471975511966	0.700564745672679	0.910939959454806	0.793673895908108	0.97255513118414	1.52238815476309
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.989597924907351	1.08656542280121	0.939481516088178	0.664214990261603	0.700564745672679	1.0471975511966	0	0.668481173662945	0.744264974846843	0.736413220646356	1.38224743477718
PT2	0.805338671800737	1.04406682253683	1.196399708151	0.639566225292966	0.910939959454806	1.0471975511966	0.668481173662945	0	0.949337634461647	0.792631730359082	1.01748266567443
PT3	1.11706770836582	1.49692474057738	1.29932801484447	1.09165241480223	0.793673895908108	1.0471975511966	0.744264974846843	0.949337634461647	0	0.873778038669593	1.65204969165832
PT4	0.708485698688648	1.32785630782755	1.29066795450698	0.761914030972777	0.97255513118414	1.0471975511966	0.736413220646356	0.792631730359082	0.873778038669593	0	1.10053261484051
PT5	0.857211159424989	1.10344700278086	1.67937966262724	1.03797456125232	1.52238815476309	1.0471975511966	1.38224743477718	1.01748266567443	1.65204969165832	1.10053261484051	0
