	LN1	LN2	LN3	LN4	LN5	LN6	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH1e	OvH1f	OvH1g	Per1	Per2	Per3	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8
LN1	0	0.208609497949457	0.254911122870506	0.253227997608542	0.179761233129887	0.390288134187158	1.0471975511966	0.626248198800002	0.179017713874317	0.189133445627042	0.208908046470814	0.196482481835783	0.238154207696431	0.249941060801277	0.583969090728463	0.731482880745918	0.447230600976662	0.306745525215239	0.282715702236087	0.470592960918562	0.247179300785386	0.341102901521762	0.261058726090134	0.19810906105497	0.267480295944236
LN2	0.208609497949457	0	0.358532965648482	0.318061510792908	0.334951000943257	0.339500880767051	1.0471975511966	0.672453117603774	0.296012075899438	0.282201042561455	0.263231223165361	0.323758160797927	0.348050023043178	0.359553498071089	0.621753349352471	0.769705113865386	0.45702112705561	0.335274736839968	0.381171239462011	0.4430540662319	0.275263417136306	0.443803980592407	0.335227938273868	0.312899010736771	0.28615289606043
LN3	0.254911122870506	0.358532965648482	0	0.247172866877435	0.187281653144377	0.465204770054029	1.0471975511966	0.551469633805822	0.279135293667195	0.292747543326573	0.252248215992332	0.236257495760174	0.241725382048155	0.303154259640697	0.499943472310098	0.640002815192066	0.367412063167875	0.356327978074759	0.271614628760471	0.420087161216125	0.417298152144012	0.268120834295631	0.438826361984434	0.257986641393485	0.406259562009956
LN4	0.253227997608542	0.318061510792908	0.247172866877435	0	0.239210542666088	0.357647212491127	1.0471975511966	0.507064576585401	0.222370911221368	0.244355387415598	0.151350114004629	0.216918864587925	0.238696972828215	0.236030450214125	0.508782321694316	0.615635349644126	0.340396350531689	0.239654326977986	0.145329574326758	0.406586196957402	0.366959384709625	0.239198071378192	0.405333749600394	0.243542742710826	0.426138330323147
LN5	0.179761233129887	0.334951000943257	0.187281653144377	0.239210542666088	0	0.417662038536078	1.0471975511966	0.63417935966325	0.193426562776975	0.22559314582798	0.213292278926239	0.148704550178909	0.152542132275914	0.202917440508619	0.568249145980797	0.719219866151265	0.426960712770163	0.327045761531369	0.240967882924633	0.455493322271092	0.391031403427376	0.30726099937303	0.392457265699208	0.254712220532877	0.355651106302099
LN6	0.390288134187158	0.339500880767051	0.465204770054029	0.357647212491127	0.417662038536078	0	1.0471975511966	0.607374909062228	0.332304985312451	0.312533120056337	0.28266178806777	0.340079753248208	0.348501338911573	0.334480028252285	0.570548087548708	0.660929962275956	0.362474567409267	0.430045526891547	0.406479240027464	0.416596645519856	0.393179101073569	0.452847576380921	0.504915202424351	0.379674850710011	0.473100256472875
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.626248198800002	0.672453117603774	0.551469633805822	0.507064576585401	0.63417935966325	0.607374909062228	1.0471975511966	0	0.61888989302018	0.611884652462706	0.553474350491413	0.600467699733167	0.623723772117298	0.627503237373707	0.385038897190501	0.306872068700078	0.366889447782106	0.599930753197113	0.525297474739773	0.656514568863808	0.593745555070915	0.401498963370375	0.649310811268539	0.521995516049347	0.706027983584067
OvH1b	0.179017713874317	0.296012075899438	0.279135293667195	0.222370911221368	0.193426562776975	0.332304985312451	1.0471975511966	0.61888989302018	0	0.0833711166575044	0.146716612747096	0.0873111730419054	0.158789644761345	0.10566239776649	0.590063078175399	0.699916021745069	0.432582747221903	0.314604822378621	0.232135394107527	0.446314765553814	0.303788607940261	0.306334466863399	0.351050838834902	0.194673256479214	0.378709239379733
OvH1c	0.189133445627042	0.282201042561455	0.292747543326573	0.244355387415598	0.22559314582798	0.312533120056337	1.0471975511966	0.611884652462706	0.0833711166575044	0	0.132403805126309	0.109457303697168	0.158854734908826	0.151126888668777	0.594584229050421	0.706174211596711	0.41493824642196	0.29734282325989	0.264495398116657	0.413806525812203	0.274537816905239	0.334357546166001	0.3612224324892	0.203306137868203	0.377213242489184
OvH1d	0.208908046470814	0.263231223165361	0.252248215992332	0.151350114004629	0.213292278926239	0.28266178806777	1.0471975511966	0.553474350491413	0.146716612747096	0.132403805126309	0	0.135604619205753	0.149894134932143	0.16831167992592	0.536378639118841	0.652631587792739	0.326660980572548	0.250175305894922	0.218858293266934	0.367072606609239	0.324234836186543	0.281461524535002	0.399890017049851	0.218601369911846	0.376589759740862
OvH1e	0.196482481835783	0.323758160797927	0.236257495760174	0.216918864587925	0.148704550178909	0.340079753248208	1.0471975511966	0.600467699733167	0.0873111730419054	0.109457303697168	0.135604619205753	0	0.0849634562214586	0.0969272470517582	0.554838173643927	0.677258280211069	0.39493771774121	0.312594785682465	0.217797454036386	0.42649049157229	0.340847301268186	0.292504887573892	0.388329870966804	0.218067657765723	0.39154169511427
OvH1f	0.238154207696431	0.348050023043178	0.241725382048155	0.238696972828215	0.152542132275914	0.348501338911573	1.0471975511966	0.623723772117298	0.158789644761345	0.158854734908826	0.149894134932143	0.0849634562214586	0	0.132103500595394	0.560668227476208	0.694628479173741	0.382220964546374	0.3163687335109	0.250145192738888	0.408294308306895	0.392798791809647	0.328372367386656	0.442732050831991	0.273600678619687	0.421387177935903
OvH1g	0.249941060801277	0.359553498071089	0.303154259640697	0.236030450214125	0.202917440508619	0.334480028252285	1.0471975511966	0.627503237373707	0.10566239776649	0.151126888668777	0.16831167992592	0.0969272470517582	0.132103500595394	0	0.578510367297434	0.685120306236472	0.426420479703371	0.345999238733391	0.229436624952627	0.472216092072033	0.389661932746688	0.310256865381285	0.412638353948531	0.264515035814639	0.439371836771905
Per1	0.583969090728463	0.621753349352471	0.499943472310098	0.508782321694316	0.568249145980797	0.570548087548708	1.0471975511966	0.385038897190501	0.590063078175399	0.594584229050421	0.536378639118841	0.554838173643927	0.560668227476208	0.578510367297434	0	0.268079236317319	0.325017104303896	0.599911628888403	0.505208397973035	0.695351044418129	0.590803719745251	0.43529147512438	0.610080779532716	0.547028721351696	0.713389593625308
Per2	0.731482880745918	0.769705113865386	0.640002815192066	0.615635349644126	0.719219866151265	0.660929962275956	1.0471975511966	0.306872068700078	0.699916021745069	0.706174211596711	0.652631587792739	0.677258280211069	0.694628479173741	0.685120306236472	0.268079236317319	0	0.430439195258446	0.740717329053259	0.615092456869152	0.772460257351445	0.709688804785659	0.492223317400151	0.734491752514356	0.631808012509676	0.851002819837746
Per3	0.447230600976662	0.45702112705561	0.367412063167875	0.340396350531689	0.426960712770163	0.362474567409267	1.0471975511966	0.366889447782106	0.432582747221903	0.41493824642196	0.326660980572548	0.39493771774121	0.382220964546374	0.426420479703371	0.325017104303896	0.430439195258446	0	0.431630081876247	0.397247901457193	0.435230911652268	0.483465877435328	0.327563367313792	0.575080833112292	0.393415270328021	0.54884958763678
PT1	0.306745525215239	0.335274736839968	0.356327978074759	0.239654326977986	0.327045761531369	0.430045526891547	1.0471975511966	0.599930753197113	0.314604822378621	0.29734282325989	0.250175305894922	0.312594785682465	0.3163687335109	0.345999238733391	0.599911628888403	0.740717329053259	0.431630081876247	0	0.251369973689964	0.477808474061412	0.362687805667024	0.404743342945087	0.418043138699777	0.379230284136468	0.461147469678363
PT2	0.282715702236087	0.381171239462011	0.271614628760471	0.145329574326758	0.240967882924633	0.406479240027464	1.0471975511966	0.525297474739773	0.232135394107527	0.264495398116657	0.218858293266934	0.217797454036386	0.250145192738888	0.229436624952627	0.505208397973035	0.615092456869152	0.397247901457193	0.251369973689964	0	0.506328821278059	0.389662892416428	0.251400462254655	0.386032885979875	0.300537270878837	0.480961709416414
PT3	0.470592960918562	0.4430540662319	0.420087161216125	0.406586196957402	0.455493322271092	0.416596645519856	1.0471975511966	0.656514568863808	0.446314765553814	0.413806525812203	0.367072606609239	0.42649049157229	0.408294308306895	0.472216092072033	0.695351044418129	0.772460257351445	0.435230911652268	0.477808474061412	0.506328821278059	0	0.522054776912573	0.50074840358348	0.662142439038325	0.410568289039503	0.497512616588169
PT4	0.247179300785386	0.275263417136306	0.417298152144012	0.366959384709625	0.391031403427376	0.393179101073569	1.0471975511966	0.593745555070915	0.303788607940261	0.274537816905239	0.324234836186543	0.340847301268186	0.392798791809647	0.389661932746688	0.590803719745251	0.709688804785659	0.483465877435328	0.362687805667024	0.389662892416428	0.522054776912573	0	0.442229294181017	0.253981043064177	0.271960464613093	0.377505111661795
