	Liv1a	Liv1b	Liv1c	Liv1d	Liv1e	LN1	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH1e	OvH2a	OvH2b	OvH2c	OvH2d	Per1	Per2	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1
Liv1a	0	0.261977855787714	0.229833161348277	0.239033407914474	0.226043735686003	0.469199564625445	1.0471975511966	0.273552665469745	0.249011535098236	0.278090608783667	0.28890149260424	0.388473139076776	0.263924795612099	0.280050602951193	0.375321680086316	0.333241591476843	0.390503121182786	0.463931557219132	0.433427916458306	0.357940976965039	0.417932202243729	0.447293205515189	0.433477999022825	0.412046055891648	0.41947179459585	0.41597925002753	0.670613061012886	0.403569180785328
Liv1b	0.261977855787714	0	0.234278858250552	0.2189781422105	0.227822211829495	0.39648448845834	1.0471975511966	0.258751850438174	0.234141804924852	0.279033880747446	0.306488243065763	0.409116978209959	0.233562361353097	0.215908795360054	0.353155902053812	0.297108687207841	0.317274776413841	0.373797557756302	0.375577639981734	0.310580158711919	0.334224454415105	0.374140722764284	0.325199753395694	0.356544146819582	0.357413743344736	0.318178658384611	0.569865780496174	0.327829370229745
Liv1c	0.229833161348277	0.234278858250552	0	0.174520431159766	0.151979523380063	0.398496986032235	1.0471975511966	0.220625596072542	0.195049202282093	0.235759484606417	0.260297074921174	0.397760024279422	0.228959713633891	0.261763720837295	0.308927502162197	0.267403181564056	0.333723628183771	0.405280084345856	0.373148065497336	0.33502294418506	0.343748647469873	0.427895191630572	0.39346737503498	0.362560951150251	0.343958821382328	0.343537978374749	0.626873782716138	0.395650197268403
Liv1d	0.239033407914474	0.2189781422105	0.174520431159766	0	0.1141893602856	0.393566680164747	1.0471975511966	0.215739139365028	0.225562285797502	0.235847236263241	0.254995110600819	0.354802909874277	0.258204149437975	0.250004345974039	0.349183039877465	0.302982114433911	0.325503838137329	0.449708309301989	0.373129103858081	0.314865625577123	0.366226791248046	0.463198444032238	0.422300037984798	0.388235752361199	0.36168048930149	0.362315279178929	0.670503711510905	0.320798850801732
Liv1e	0.226043735686003	0.227822211829495	0.151979523380063	0.1141893602856	0	0.370838488473933	1.0471975511966	0.234339945423195	0.223386889500018	0.240556661972587	0.258537386825809	0.361386378117884	0.256531777647493	0.284153811188832	0.273917350774992	0.232497402802823	0.340376856261981	0.411932329130325	0.33958327311697	0.288665500998017	0.31625915009394	0.425622746994655	0.379016029037575	0.354572529642284	0.323906664288846	0.350639980868219	0.623280027620281	0.347236181276284
LN1	0.469199564625445	0.39648448845834	0.398496986032235	0.393566680164747	0.370838488473933	0	1.0471975511966	0.460548492719708	0.447227046762924	0.438981779106096	0.483373798094511	0.559484486703165	0.444204372032398	0.47190251386022	0.365902363439274	0.36370902479491	0.472680162849635	0.522983901200967	0.338091955437816	0.364793379041495	0.329393378682498	0.444424574527093	0.34434323572878	0.376538114512479	0.284301810572039	0.319953188700993	0.49215419253587	0.440898146922005
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.273552665469745	0.258751850438174	0.220625596072542	0.215739139365028	0.234339945423195	0.460548492719708	1.0471975511966	0	0.153665828992024	0.157488592773645	0.118784934147903	0.304088625506622	0.197507006437894	0.180919432181732	0.360095712629431	0.326342553231573	0.228806203076672	0.40357438521632	0.379430973491205	0.329597649049814	0.403113631862295	0.452117422865594	0.428331814919487	0.372306758639133	0.409016127244488	0.362935373085764	0.65759013122019	0.302409381613904
OvH1b	0.249011535098236	0.234141804924852	0.195049202282093	0.225562285797502	0.223386889500018	0.447227046762924	1.0471975511966	0.153665828992024	0	0.19218092086097	0.176479305770142	0.360008716029466	0.105108858066214	0.152093583112744	0.326562070368968	0.289134947578917	0.252506299747847	0.365426189389243	0.353069664248706	0.294584186899388	0.346012201811721	0.394359941514101	0.368538127224438	0.320739919913929	0.364325990737397	0.325481028132422	0.589984614576271	0.316297848081173
OvH1c	0.278090608783667	0.279033880747446	0.235759484606417	0.235847236263241	0.240556661972587	0.438981779106096	1.0471975511966	0.157488592773645	0.19218092086097	0	0.179360752584142	0.306269067476286	0.222746544338093	0.242015568459123	0.316211946505479	0.273636860375214	0.308301901481618	0.440566711868351	0.34743943575089	0.296630812251025	0.347135026159416	0.424163216343008	0.400596144820777	0.312694311819593	0.353112322175153	0.322303479707328	0.626113051684589	0.301723352668756
OvH1d	0.28890149260424	0.306488243065763	0.260297074921174	0.254995110600819	0.258537386825809	0.483373798094511	1.0471975511966	0.118784934147903	0.176479305770142	0.179360752584142	0	0.30951226284933	0.230020755862972	0.23821075141339	0.374335098234891	0.345338811184087	0.279619456830523	0.421945457173154	0.385392401683739	0.338910078142231	0.403136586089599	0.485286798163521	0.449169448522863	0.381818732030166	0.414132608578713	0.395489455753856	0.664427530931328	0.324215165702121
OvH1e	0.388473139076776	0.409116978209959	0.397760024279422	0.354802909874277	0.361386378117884	0.559484486703165	1.0471975511966	0.304088625506622	0.360008716029466	0.306269067476286	0.30951226284933	0	0.362834640039228	0.368492455253548	0.426917960150016	0.415475774238155	0.406269482489336	0.49149368215404	0.419176171190635	0.367535807365509	0.492384730314884	0.521440234657398	0.508058866581481	0.42086962842902	0.442947187258393	0.465110459324825	0.703318772789553	0.344723656194208
OvH2a	0.263924795612099	0.233562361353097	0.228959713633891	0.258204149437975	0.256531777647493	0.444204372032398	1.0471975511966	0.197507006437894	0.105108858066214	0.222746544338093	0.230020755862972	0.362834640039228	0	0.12228120215803	0.322064324604799	0.293956741741259	0.254238076803552	0.375860048761428	0.357894516447396	0.283935981611496	0.333515826553839	0.370796539345728	0.341071673994265	0.304572043165534	0.35949749745274	0.307288479462048	0.560226545330433	0.30694827154492
OvH2b	0.280050602951193	0.215908795360054	0.261763720837295	0.250004345974039	0.284153811188832	0.47190251386022	1.0471975511966	0.180919432181732	0.152093583112744	0.242015568459123	0.23821075141339	0.368492455253548	0.12228120215803	0	0.388790243041914	0.353943387268351	0.232179528025168	0.408333217308382	0.421279147944281	0.345423311351126	0.400597039702845	0.426383996932911	0.405277755908167	0.373502725351554	0.424156946916424	0.34742103968973	0.625442751023082	0.302338516598993
OvH2c	0.375321680086316	0.353155902053812	0.308927502162197	0.349183039877465	0.273917350774992	0.365902363439274	1.0471975511966	0.360095712629431	0.326562070368968	0.316211946505479	0.374335098234891	0.426917960150016	0.322064324604799	0.388790243041914	0	0.135041312182442	0.39751777637987	0.439441079618752	0.271707467287457	0.315399459323707	0.260312556277616	0.328305537570613	0.320937069290704	0.292150099126831	0.31142385179016	0.30702645972209	0.481827020830688	0.400667033108495
OvH2d	0.333241591476843	0.297108687207841	0.267403181564056	0.302982114433911	0.232497402802823	0.36370902479491	1.0471975511966	0.326342553231573	0.289134947578917	0.273636860375214	0.345338811184087	0.415475774238155	0.293956741741259	0.353943387268351	0.135041312182442	0	0.378465985954831	0.435903229276119	0.284314712966771	0.295513701281366	0.25304701439075	0.325928799906514	0.301004467366026	0.297092610764795	0.282984006452075	0.315343598196956	0.503867496385744	0.367735324456219
Per1	0.390503121182786	0.317274776413841	0.333723628183771	0.325503838137329	0.340376856261981	0.472680162849635	1.0471975511966	0.228806203076672	0.252506299747847	0.308301901481618	0.279619456830523	0.406269482489336	0.254238076803552	0.232179528025168	0.39751777637987	0.378465985954831	0	0.403301793887908	0.398389926792287	0.366413108470875	0.454344307499275	0.481804915558326	0.444514157543872	0.395616437863555	0.463540472999215	0.385289138683221	0.634874185548358	0.290891067883727
Per2	0.463931557219132	0.373797557756302	0.405280084345856	0.449708309301989	0.411932329130325	0.522983901200967	1.0471975511966	0.40357438521632	0.365426189389243	0.440566711868351	0.421945457173154	0.49149368215404	0.375860048761428	0.408333217308382	0.439441079618752	0.435903229276119	0.403301793887908	0	0.442698653901302	0.404144179038775	0.478279040720529	0.451479823190318	0.388637025836441	0.41156195726772	0.476400929394354	0.425876121745679	0.545512915551015	0.454124464125583
