	LN1	LN2	LN3	LN4a	LN4b	LN5	LN6	Normal1	Per1	Per10a	Per10b	Per2	Per3	Per4a	Per4b	Per4c	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PTa1	PTa2	PTa3	PTa4	PTa5	PTa6	PTb1	PTb2	PTb3	PTb4	PTb5	PTb6	PTb7	TD1	TD2	TD3	TD4	TD5	TD6
LN1	0	0.429590905310073	0.458476081065243	0.579088931879367	0.527972389834253	0.438401115704822	0.682909638431453	1.0471975511966	0.592641869777725	0.958203203642316	0.751011536888558	0.428238632304553	0.4867525083423	0.565677996366228	0.636243996742546	0.677206664577785	0.605712502400301	0.649349571554279	0.612115275122431	0.362949086298341	0.698969545913998	0.602804253160557	0.402271050556097	0.540027626425404	0.40019384661637	0.694555175705888	0.67315170970571	0.79064193150476	0.512473401844467	0.464576106967386	0.496254054791529	0.484952480994624	0.566592081490457	0.749163731921612	0.781602228997734	0.457530154660525	0.475231123205731	0.702230514072211	0.484283160849284	0.592059208611501	0.627644665303852	0.554704598702908	0.846676087415172
LN2	0.429590905310073	0	0.228308285367784	0.329211441590901	0.318108773321888	0.579258386921407	0.42093484298852	1.0471975511966	0.312402599784565	0.974482168923633	0.443618699209526	0.168509375081643	0.504519092573627	0.342520308896053	0.434648977610677	0.419408855723832	0.346754349982599	0.407356322655082	0.366063883301957	0.24199612521939	0.42221845702653	0.368761326718041	0.266391292849721	0.367924460466146	0.167228414398068	0.38950685610099	0.343324379240942	0.538058956339624	0.32301501226458	0.187332238574552	0.733370580477421	0.2975851957574	0.228736704119691	0.848530796830686	0.471903934228921	0.253269904612133	0.212408229867365	0.531259142924291	0.376398090428235	0.387231930561555	0.390722064059452	0.448243287512856	0.592205625896602
LN3	0.458476081065243	0.228308285367784	0	0.35852940419405	0.349700339950089	0.60591550128085	0.416121629475209	1.0471975511966	0.330656154830229	1.01797857339483	0.534431805917034	0.211304826190772	0.529062456005689	0.40874319696918	0.483669847161194	0.475631539876307	0.447238850908564	0.474615942715789	0.454006567412809	0.273851470192288	0.492358856213521	0.431515554539939	0.341277198859512	0.414876013965973	0.226220012372022	0.525763381863415	0.437766613140482	0.600470379852099	0.391246190584594	0.322316256156271	0.717354275412404	0.28749074773191	0.319975583118111	0.823762499128796	0.540653192025389	0.28593239990147	0.281665495183562	0.579499253309137	0.446630864004329	0.436222763849936	0.43973878068025	0.503114199375752	0.694557680459862
LN4a	0.579088931879367	0.329211441590901	0.35852940419405	0	0.142821400695385	0.609880743151761	0.28363341871245	1.0471975511966	0.110088052736788	0.984300340802875	0.428552176560476	0.278245888519269	0.569849515093406	0.380603841504796	0.422887196701866	0.391921410280308	0.379150050155539	0.404045369401734	0.415791167132626	0.400323001940812	0.41087558001701	0.481443678528157	0.429153096756138	0.455245609403723	0.363729272099902	0.457991443697242	0.379799303657502	0.528738717207654	0.435069241612246	0.343682066958658	0.879000123430574	0.400463332464621	0.344694158398189	0.873373936215936	0.541086990528163	0.374689458020594	0.411844802743913	0.54388951716686	0.473157131074379	0.447682185071713	0.39081272318652	0.510367149504339	0.628382449795405
LN4b	0.527972389834253	0.318108773321888	0.349700339950089	0.142821400695385	0	0.599515971732078	0.322336149109892	1.0471975511966	0.180515317348407	1.01410976518608	0.474604465008789	0.249657455465993	0.526931467648228	0.388328138656175	0.422396151365647	0.408766466466771	0.394871368072719	0.43212454372921	0.4022289370973	0.368382987271099	0.419349205808677	0.4553496746771	0.391076358223013	0.454919070767573	0.350462517759338	0.488493117320145	0.440454663604505	0.525903773003842	0.388558259004103	0.311808487411981	0.81367501608433	0.361870958159829	0.358560848547824	0.874478256553445	0.529624789738823	0.361339910912685	0.398579127770836	0.513367392737498	0.463940229346467	0.440341267502552	0.399891401048215	0.477959579843124	0.642971605084946
LN5	0.438401115704822	0.579258386921407	0.60591550128085	0.609880743151761	0.599515971732078	0	0.642109534993308	1.0471975511966	0.624496122600299	0.795523380962857	0.814667634782904	0.553227472749354	0.578988385894925	0.697005858696463	0.721104614922377	0.754007905432642	0.627501422983147	0.77971177338959	0.647411250409097	0.567804562752846	0.737167591868684	0.732087904164192	0.526077681065713	0.534908587958975	0.537544937387665	0.693160618640595	0.696635086383109	0.857012862375234	0.580990563272524	0.542417310620215	0.855719707261724	0.681809538602813	0.716050052919021	0.559689455272582	0.879395515215044	0.625094328661237	0.663516928270775	0.730717056600455	0.474831083380494	0.718301297407098	0.738737155300132	0.74466952059525	0.730540478433563
LN6	0.682909638431453	0.42093484298852	0.416121629475209	0.28363341871245	0.322336149109892	0.642109534993308	0	1.0471975511966	0.267287758677258	0.956020783191618	0.479755567060772	0.377325619858062	0.67858983346509	0.539669414515278	0.577800498325691	0.533813929335762	0.460046902093722	0.577973639850188	0.45040123907206	0.555454997581733	0.46245884228642	0.557896200055946	0.463601998251143	0.551011723604711	0.456302415503574	0.518775048873372	0.433532660121554	0.615361851992089	0.479013829880623	0.429757957799346	1.00820121284936	0.52401069662728	0.466721525455914	0.873552198594559	0.550126607376145	0.509079476590127	0.490783303233384	0.508741582128257	0.523724783027837	0.595460645615263	0.561185688075038	0.643512982740801	0.57733905688316
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.592641869777725	0.312402599784565	0.330656154830229	0.110088052736788	0.180515317348407	0.624496122600299	0.267287758677258	1.0471975511966	0	0.969035533943404	0.438444131331597	0.277577300075582	0.579129600550547	0.417947688756263	0.466755081251393	0.429470940351667	0.393336663027018	0.449177946695878	0.389832098267981	0.394769288648148	0.418212078655211	0.456968859962019	0.41198173172079	0.431866115171763	0.339113377862096	0.454083746585767	0.368411598623088	0.536343454446098	0.426735048688187	0.331636617658482	0.883378980989287	0.389501173664427	0.334892444038244	0.874131637861587	0.516964683574948	0.363857380229987	0.385199173621093	0.537686318412848	0.45613444025241	0.482776569985934	0.435386684926141	0.518619140332295	0.60065705567576
Per10a	0.958203203642316	0.974482168923633	1.01797857339483	0.984300340802875	1.01410976518608	0.795523380962857	0.956020783191618	1.0471975511966	0.969035533943404	0	1.04568250610521	1.00575702095948	1.02087133767165	1.06940761508103	1.12080304725981	1.10725116636298	0.894865497577791	1.11197625089158	0.997926899755252	1.02793415999521	1.00823465529312	1.07866159910722	0.994562762171261	0.806423248231131	0.939337256062884	0.939093359147437	0.981471991022061	1.10380804232023	0.900547119961841	0.930475776083136	1.2455460235602	1.08132612203194	0.997148999914286	1.02524611509271	1.10477356511703	0.963451398504875	1.02869536351194	1.01290352158774	0.718189305834832	1.11282073484808	1.12598738467164	1.07333741801986	0.945657573885466
