	Normal1	Per1	Per2	Per3	Per4a	Per4b	Per5	Per6	Per7	PT1	PT10	PT11	PT12	PT13	PT14	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Normal1	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	1.0471975511966	0	0.328332830554317	0.320514934216128	0.24155713743132	0.361302365484745	0.500816872612205	0.171779917286744	0.656397312057741	0.120791887261848	0.128232522055385	0.130215340264641	0.107595886764407	0.0919057048472012	0.516540163760022	0.140174763318617	0.161013424786282	0.115464473759104	0.162990060804702	0.152301861803117	0.144847094221957	0.206193365677036	0.144727605101565
Per2	1.0471975511966	0.328332830554317	0	0.460915318794526	0.250647720116917	0.225621999373871	0.628438472351598	0.329906713723276	0.548919657889256	0.388411054609144	0.365901833932388	0.342193236885428	0.328151368500801	0.351665878452363	0.474294578360811	0.361136508465864	0.332978350467794	0.345690879978435	0.41549046392381	0.371469933318927	0.391548544675188	0.464698838833954	0.37043719340107
Per3	1.0471975511966	0.320514934216128	0.460915318794526	0	0.36657300581813	0.411676538523239	0.435203909183027	0.311936856129042	0.529954577205863	0.391060037907776	0.339880735704159	0.336244938461691	0.356780922823095	0.358398956100264	0.47751695073224	0.333065197903367	0.401143897564737	0.305151766163887	0.362064673821463	0.380681608726722	0.36113748849152	0.379207591470583	0.393243716848706
Per4a	1.0471975511966	0.24155713743132	0.250647720116917	0.36657300581813	0	0.277366034419605	0.568346301521348	0.292765394106393	0.566114877574716	0.316539905104106	0.315425051921682	0.293549404345148	0.279171295257269	0.240454166846076	0.471787676288604	0.276304797651956	0.284941732774672	0.278442240846134	0.362759266138259	0.319049509329702	0.31162621560538	0.38231677123582	0.324673783298637
Per4b	1.0471975511966	0.361302365484745	0.225621999373871	0.411676538523239	0.277366034419605	0	0.543056365454304	0.298047942212354	0.499319493497819	0.419690731510545	0.377981978664303	0.351536009306537	0.35938419482127	0.378746765426931	0.39213235776508	0.358222591038665	0.346579103057856	0.347031012938103	0.421357682465483	0.373238980220846	0.37589294335088	0.458398930845236	0.388222656455214
Per5	1.0471975511966	0.500816872612205	0.628438472351598	0.435203909183027	0.568346301521348	0.543056365454304	0	0.478062218241795	0.586109198772499	0.517697815649572	0.481547293201131	0.497198747052519	0.525729805785045	0.502706161309479	0.569282840351235	0.469431645206365	0.501767606902377	0.4569663411806	0.471411317742936	0.48205833484252	0.481869773446883	0.423218187854793	0.513595218103515
Per6	1.0471975511966	0.171779917286744	0.329906713723276	0.311936856129042	0.292765394106393	0.298047942212354	0.478062218241795	0	0.593652723714538	0.198097068940396	0.129525973096997	0.102982505929879	0.148849863177345	0.203274783643958	0.468654869152744	0.162803886325075	0.164831603958738	0.138447409379214	0.181528435185412	0.158864509431186	0.164900826390868	0.234276473462075	0.165323642619989
Per7	1.0471975511966	0.656397312057741	0.548919657889256	0.529954577205863	0.566114877574716	0.499319493497819	0.586109198772499	0.593652723714538	0	0.693429866861964	0.657817129498098	0.628424411502228	0.678954095768103	0.660808068026418	0.45018859345706	0.616627084628835	0.644275631574368	0.606835690447356	0.68837223750128	0.679769448263497	0.669473864030881	0.68731066305194	0.693372730877754
PT1	1.0471975511966	0.120791887261848	0.388411054609144	0.391060037907776	0.316539905104106	0.419690731510545	0.517697815649572	0.198097068940396	0.693429866861964	0	0.130749909793111	0.125285124861322	0.142626437852746	0.11283861832823	0.534274355233683	0.121450674777637	0.124313866737911	0.120027329424729	0.131290184401418	0.128065069970395	0.109236581107818	0.167080717380555	0.109113810546344
PT10	1.0471975511966	0.128232522055385	0.365901833932388	0.339880735704159	0.315425051921682	0.377981978664303	0.481547293201131	0.129525973096997	0.657817129498098	0.130749909793111	0	0.0724849103607688	0.0778286861764314	0.138123602758279	0.516210925173414	0.137517616508763	0.120030355510911	0.0999143146796543	0.0799730119335	0.0844024593868072	0.123528332526939	0.141796038904164	0.0774035369200615
PT11	1.0471975511966	0.130215340264641	0.342193236885428	0.336244938461691	0.293549404345148	0.351536009306537	0.497198747052519	0.102982505929879	0.628424411502228	0.125285124861322	0.0724849103607688	0	0.100788550137921	0.146958180630663	0.505192748988926	0.126929487632543	0.109020424570387	0.0967588166641296	0.121874167468822	0.112557233058411	0.130624368919971	0.18223109952255	0.103399145889031
PT12	1.0471975511966	0.107595886764407	0.328151368500801	0.356780922823095	0.279171295257269	0.35938419482127	0.525729805785045	0.148849863177345	0.678954095768103	0.142626437852746	0.0778286861764314	0.100788550137921	0	0.130389597690867	0.528079380365882	0.152287504297048	0.129429115001124	0.127877251441297	0.128358586749163	0.105004752737837	0.140533148159208	0.192094450578684	0.0909303544117822
PT13	1.0471975511966	0.0919057048472012	0.351665878452363	0.358398956100264	0.240454166846076	0.378746765426931	0.502706161309479	0.203274783643958	0.660808068026418	0.11283861832823	0.138123602758279	0.146958180630663	0.130389597690867	0	0.503984093965399	0.124648409920614	0.131000672523117	0.118804066409017	0.161983822401071	0.1380401469574	0.126562314562021	0.176402657624573	0.133148615711552
PT14	1.0471975511966	0.516540163760022	0.474294578360811	0.47751695073224	0.471787676288604	0.39213235776508	0.569282840351235	0.468654869152744	0.45018859345706	0.534274355233683	0.516210925173414	0.505192748988926	0.528079380365882	0.503984093965399	0	0.43200046348064	0.480536907039283	0.441879797304564	0.516259860719696	0.497837116563246	0.470923474850178	0.524933407259265	0.514917633584029
PT2	1.0471975511966	0.140174763318617	0.361136508465864	0.333065197903367	0.276304797651956	0.358222591038665	0.469431645206365	0.162803886325075	0.616627084628835	0.121450674777637	0.137517616508763	0.126929487632543	0.152287504297048	0.124648409920614	0.43200046348064	0	0.114812485224677	0.0661945115742518	0.135620793173731	0.117697700751791	0.0779773959709113	0.160924434756517	0.126270590541831
PT3	1.0471975511966	0.161013424786282	0.332978350467794	0.401143897564737	0.284941732774672	0.346579103057856	0.501767606902377	0.164831603958738	0.644275631574368	0.124313866737911	0.120030355510911	0.109020424570387	0.129429115001124	0.131000672523117	0.480536907039283	0.114812485224677	0	0.115432688856141	0.140654174455105	0.0881430348405688	0.116139406029235	0.17414070600104	0.0893563243741364
PT4	1.0471975511966	0.115464473759104	0.345690879978435	0.305151766163887	0.278442240846134	0.347031012938103	0.4569663411806	0.138447409379214	0.606835690447356	0.120027329424729	0.0999143146796543	0.0967588166641296	0.127877251441297	0.118804066409017	0.441879797304564	0.0661945115742518	0.115432688856141	0	0.111927543842291	0.110279679226518	0.0957823830765449	0.153847411199169	0.115119243075746
PT5	1.0471975511966	0.162990060804702	0.41549046392381	0.362064673821463	0.362759266138259	0.421357682465483	0.471411317742936	0.181528435185412	0.68837223750128	0.131290184401418	0.0799730119335	0.121874167468822	0.128358586749163	0.161983822401071	0.516259860719696	0.135620793173731	0.140654174455105	0.111927543842291	0	0.0812006000802353	0.112943680100669	0.0959755659451232	0.0794954811809446
PT6	1.0471975511966	0.152301861803117	0.371469933318927	0.380681608726722	0.319049509329702	0.373238980220846	0.48205833484252	0.158864509431186	0.679769448263497	0.128065069970395	0.0844024593868072	0.112557233058411	0.105004752737837	0.1380401469574	0.497837116563246	0.117697700751791	0.0881430348405688	0.110279679226518	0.0812006000802353	0	0.0872952658935118	0.126452311616646	0.0431524578583544
PT7	1.0471975511966	0.144847094221957	0.391548544675188	0.36113748849152	0.31162621560538	0.37589294335088	0.481869773446883	0.164900826390868	0.669473864030881	0.109236581107818	0.123528332526939	0.130624368919971	0.140533148159208	0.126562314562021	0.470923474850178	0.0779773959709113	0.116139406029235	0.0957823830765449	0.112943680100669	0.0872952658935118	0	0.141438111543269	0.0938968450974069
PT8	1.0471975511966	0.206193365677036	0.464698838833954	0.379207591470583	0.38231677123582	0.458398930845236	0.423218187854793	0.234276473462075	0.68731066305194	0.167080717380555	0.141796038904164	0.18223109952255	0.192094450578684	0.176402657624573	0.524933407259265	0.160924434756517	0.17414070600104	0.153847411199169	0.0959755659451232	0.126452311616646	0.141438111543269	0	0.141073987392612
PT9	1.0471975511966	0.144727605101565	0.37043719340107	0.393243716848706	0.324673783298637	0.388222656455214	0.513595218103515	0.165323642619989	0.693372730877754	0.109113810546344	0.0774035369200615	0.103399145889031	0.0909303544117822	0.133148615711552	0.514917633584029	0.126270590541831	0.0893563243741364	0.115119243075746	0.0794954811809446	0.0431524578583544	0.0938968450974069	0.141073987392612	0
