	Ld1a	Ld1b	LN1a	LN1b	Normal1	Per1	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT11	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1	TD2	TD3	TD4	TD5	TD6
Ld1a	0	0.256933125992034	0.260906226455191	0.337376280416797	1.0471975511966	0.523976978148467	0.71372390859483	0.397315941832728	0.477051698587094	0.504140594472474	0.480768269361259	0.47598096966503	0.484203711793836	0.61037957790096	0.711622183744185	0.562105616521911	0.908488770431371	0.784247028583366	0.849903319350766	0.746104013972514	0.90888682737455	0.362516478768469	0.418535882530124	0.603464299437185	0.617993023565157	0.428464524813224	0.505033301553856	0.509242314993569	0.580297147824321	0.390708936114906	0.911214886189899
Ld1b	0.256933125992034	0	0.415193364731	0.4335931772933	1.0471975511966	0.660243237455729	0.774407573675789	0.510847901936859	0.612360497817534	0.602746078486743	0.632232844613493	0.592290183137234	0.593964527293437	0.784051108574229	0.689518703280421	0.604485886419844	0.993226346020429	0.758704205915321	0.815946473012083	0.699394134372969	0.892235359964276	0.367676053136101	0.534017794425777	0.605343468566318	0.622837771998366	0.55439402281447	0.570572026527737	0.596092160009474	0.650605115259714	0.446460376146033	0.98180407078518
LN1a	0.260906226455191	0.415193364731	0	0.263759759168991	1.0471975511966	0.454070106071749	0.699752535826953	0.358354473544293	0.469412044151928	0.464607146673222	0.414771452174581	0.419684939211681	0.395693642747164	0.526188535334067	0.628166248938052	0.561358839540721	0.810534074935513	0.699539768285133	0.78732711491987	0.714628448430218	0.863595827947759	0.368516210634861	0.344107018990886	0.627674513068308	0.639352583401007	0.407465410549846	0.500073238689396	0.420843359820506	0.58122467635798	0.413874114773439	0.876523038285871
LN1b	0.337376280416797	0.4335931772933	0.263759759168991	0	1.0471975511966	0.435324410053517	0.590271672982654	0.345406548879957	0.497992302193863	0.449229672899221	0.391089615596238	0.404384427347802	0.414275591682166	0.522048606843065	0.584513325426107	0.62845456765928	0.906224236305841	0.709725071452886	0.824379145082555	0.730285022744454	0.852230094450517	0.24822339523393	0.317428166404817	0.667664889179101	0.673408226112314	0.375435801116068	0.436492398549779	0.414714502202681	0.464173042908388	0.314048668346729	0.788324002954678
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.523976978148467	0.660243237455729	0.454070106071749	0.435324410053517	1.0471975511966	0	0.748500048302468	0.403568129342742	0.514812752623027	0.318022239424521	0.337502249417629	0.417549690459422	0.345293459729146	0.291726777399347	0.704444282956714	0.726349605417914	0.875271354147767	0.826255285110546	0.90029657814358	0.805229370106867	1.00437289122132	0.506397806048683	0.473076161150722	0.817813559712315	0.790798776826645	0.414510744475575	0.397970714614066	0.39058966242141	0.43316210682159	0.439394078192194	0.51224327002363
Per2	0.71372390859483	0.774407573675789	0.699752535826953	0.590271672982654	1.0471975511966	0.748500048302468	0	0.65592287746022	0.676350636257222	0.692662331780558	0.712193217614611	0.685069151036676	0.783912190908889	0.693871151863423	0.789592493130247	0.869507093679803	1.06549180474916	0.956577643388822	1.03733812330773	0.96067956151584	0.727584701422564	0.623225529634025	0.606867531181627	0.873922825380229	0.938213646104585	0.606861209165282	0.703723323093226	0.726858615417409	0.747350347690426	0.638393397594211	0.90529304781336
Per3	0.397315941832728	0.510847901936859	0.358354473544293	0.345406548879957	1.0471975511966	0.403568129342742	0.65592287746022	0	0.318345798636995	0.420025448292205	0.412053371225525	0.414236554152424	0.40299078156508	0.419350783289635	0.591373978217149	0.567183286738461	0.844296438648192	0.760783676938629	0.731572676325302	0.65827449892665	0.881230578654523	0.446014573008623	0.36583406371843	0.628609634434566	0.6447071565124	0.206435761890341	0.509502603663681	0.355476301244439	0.544341837183893	0.292150871304498	0.692001662148901
Per4	0.477051698587094	0.612360497817534	0.469412044151928	0.497992302193863	1.0471975511966	0.514812752623027	0.676350636257222	0.318345798636995	0	0.456338668846178	0.487854409570622	0.483107608510396	0.532937370951257	0.516350927760233	0.705257768700577	0.543861777425979	0.814377678618115	0.851816667670654	0.797794038835392	0.728191711842993	0.939403700775873	0.571704539513964	0.36991925539877	0.568791106151836	0.634847625723795	0.215904577905953	0.57471185973315	0.509783198131875	0.636299766150113	0.381928548326364	0.819981844635959
Per5	0.504140594472474	0.602746078486743	0.464607146673222	0.449229672899221	1.0471975511966	0.318022239424521	0.692662331780558	0.420025448292205	0.456338668846178	0	0.370782695878197	0.471287659583881	0.45281503506588	0.426800286118765	0.733402509459454	0.735957297146647	0.879839553186411	0.859788689072938	0.91154683155839	0.819586167876885	0.98463554420012	0.474244262926709	0.454145126811067	0.769083199565376	0.806922805439055	0.374069392552081	0.403578175820571	0.435544126501644	0.509369620667792	0.4377051701053	0.605691878139137
