	LN1	Lun1a	Lun1b	Lun2a	Lun2b	Normal1	Per1a	Per1b	Per2a	Per2b	Per2c	Per3a	Per3b	Per3c	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1a	TD1b	TD2	TD3
LN1	0	0.204534659842219	0.208327896949153	0.311408548595482	0.278116963546506	1.0471975511966	0.213292622826404	0.229815621434507	0.279658565238755	0.232597370637073	0.215702845851226	0.33824680792625	0.329554166829407	0.211029302511719	0.334581923997193	0.241413549906001	0.314211262326132	0.239882775898835	0.235404283468351	0.58696598547495	0.219655015745028	0.310235045001621	0.281316699124	0.242626403539115	0.30820305328011	0.269323928342476	0.283863073176285
Lun1a	0.204534659842219	0	0.0819374243516012	0.276470875261945	0.246254309302201	1.0471975511966	0.207695697579817	0.205630027478859	0.256706912115136	0.224164011530643	0.227155991428832	0.300198245155852	0.271409672468138	0.187990574915697	0.305441070192079	0.296444632122716	0.281545180106937	0.225104799572757	0.222979158018303	0.624514013020846	0.227539580812024	0.27430491272144	0.294755385530367	0.256479945526383	0.315100397061913	0.285103506338323	0.301755450898426
Lun1b	0.208327896949153	0.0819374243516012	0	0.297003402929622	0.263370013477167	1.0471975511966	0.218360196493385	0.223620862444471	0.273645807595802	0.241675874759943	0.198816105242206	0.324489871558098	0.301830394864083	0.185125591193142	0.327658557357642	0.297120105035251	0.293885078616514	0.225135702836295	0.255912423841822	0.638356162661189	0.249280403391552	0.297972190744239	0.298592560430289	0.288520134498975	0.321702633010132	0.298756883200336	0.322345435621623
Lun2a	0.311408548595482	0.276470875261945	0.297003402929622	0	0.0773983779003737	1.0471975511966	0.223445929065646	0.181099118568643	0.157522266554881	0.201419420919998	0.338078471853416	0.0865853554907837	0.114113088149766	0.240177618465062	0.14119077132904	0.331293806958392	0.158348539115201	0.225648471890288	0.177330798640344	0.529492072745636	0.245682530717652	0.222502875194333	0.316398289008501	0.255758062773268	0.372248335818596	0.236719227671802	0.248556531952446
Lun2b	0.278116963546506	0.246254309302201	0.263370013477167	0.0773983779003737	0	1.0471975511966	0.189446513695197	0.145980765020306	0.12410566936451	0.170245263667583	0.293260596658257	0.123696276763682	0.12239573232967	0.207785904808749	0.134080440463955	0.287737068654813	0.137914388516292	0.188306831638003	0.154917788180344	0.53109855671354	0.199888362517991	0.191669987806677	0.285655214448909	0.238124478145279	0.327809641259039	0.200670821466822	0.21543454054628
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1a	0.213292622826404	0.207695697579817	0.218360196493385	0.223445929065646	0.189446513695197	1.0471975511966	0	0.110808290869479	0.161863271011937	0.108283284315483	0.201831475246677	0.251010793305732	0.225383220411607	0.101309311226396	0.254407751424741	0.213487521881748	0.227575079383304	0.130600118707455	0.169757454163896	0.532939243806819	0.140749457138598	0.167923216213136	0.19550991326364	0.202249626276564	0.265248329942797	0.138118278464556	0.176263250634922
Per1b	0.229815621434507	0.205630027478859	0.223620862444471	0.181099118568643	0.145980765020306	1.0471975511966	0.110808290869479	0	0.144158696462269	0.135627744905533	0.24386798337356	0.197798803510241	0.172310378474906	0.125654111922365	0.215974094480265	0.245436629658561	0.176556797608121	0.110345921520022	0.137540203421533	0.560900501713281	0.142727365956336	0.167865633529471	0.261818852104877	0.198285455928012	0.28131183689132	0.16454555275481	0.207614857874097
Per2a	0.279658565238755	0.256706912115136	0.273645807595802	0.157522266554881	0.12410566936451	1.0471975511966	0.161863271011937	0.144158696462269	0	0.144980480794894	0.27372921668135	0.183906470445402	0.165984564773517	0.192903240050052	0.182623493928995	0.261601746665351	0.164887278591118	0.162585377545075	0.164682728046323	0.53163568682715	0.185595420954589	0.181017688945303	0.247582122787479	0.221167943579005	0.302500243127571	0.14350343084662	0.18866832255115
Per2b	0.232597370637073	0.224164011530643	0.241675874759943	0.201419420919998	0.170245263667583	1.0471975511966	0.108283284315483	0.135627744905533	0.144980480794894	0	0.245140334968147	0.22994828821657	0.213438036985759	0.163003678868643	0.213748745829827	0.228282238898606	0.203191092714219	0.130819471289168	0.140649232096676	0.515974776930169	0.154302204879741	0.121599136833727	0.194981048547909	0.209262517371971	0.286472688968863	0.147662551050027	0.165340720870687
