	Normal1	Per1	Per10	Per11	Per12	Per13	Per14	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	TD1	TD2	TD3	TD4
Normal1	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	1.0471975511966	0	0.338483020020611	0.932737048677928	0.390983716344382	0.612831325083212	0.631705002771344	1.17966027847787	0.373187593165766	0.280253423193594	0.414765751235394	0.301625896169398	0.470276138529544	0.369942640404674	0.319718238298773	0.678991847973972	0.544955579356332	0.553304288696503	0.671497562134412	0.549541999918231	0.354660684403516	0.600355326851728	0.558150029701959	0.448708052225332	0.426765516861235	0.307695986831949	0.410363541020572	0.472697024174251	0.745393708480096
Per10	1.0471975511966	0.338483020020611	0	0.78409700315168	0.366777958645111	0.482175323425287	0.573542993171503	1.06690704845727	0.410335148778023	0.277300499336176	0.369288730457118	0.273153196041602	0.394870862045648	0.266601184560751	0.229139589960242	0.639222228617173	0.399007420463381	0.477055237989756	0.620824054608224	0.617125530160499	0.34201688099	0.459312947524703	0.526824515944219	0.328352349224432	0.271026858745312	0.396573904206965	0.404881599856942	0.416411196452231	0.659966127746336
Per11	1.0471975511966	0.932737048677928	0.78409700315168	0	0.759514323744833	0.455378446323991	0.524183573410694	0.612315417609059	0.878533796648741	0.766966683365504	0.662392353818781	0.725421427985606	0.864463767003169	0.735881421924941	0.804026795686667	0.803563973882556	0.763024745976986	0.802284549137002	0.710154733443694	1.13052523546756	0.794640419559462	0.872737605423078	0.935121934892197	0.607614108664119	0.841145263931685	0.900550358480312	0.924357296885863	0.742962486885753	0.534647705725846
Per12	1.0471975511966	0.390983716344382	0.366777958645111	0.759514323744833	0	0.497858050291312	0.588493630079986	1.08497834762716	0.456123492181962	0.351772936940992	0.351555309331754	0.348157707869407	0.515837769732503	0.391720348101157	0.348134557463382	0.652513559858268	0.548797804120425	0.530594010289001	0.654357733763311	0.675929528475785	0.335430033837368	0.560234968285362	0.572586162172588	0.358351423897634	0.420883283363369	0.466036200994554	0.495724216251904	0.404166414311345	0.683547019611427
Per13	1.0471975511966	0.612831325083212	0.482175323425287	0.455378446323991	0.497858050291312	0	0.334498167014729	0.748705664277544	0.58972020380015	0.470817185321004	0.475446114237056	0.420948635109718	0.628489887894584	0.428021134835906	0.53092508550253	0.690938793004981	0.572849020454214	0.632308091422926	0.620533124873374	0.890378845257472	0.473361290641622	0.63080216340381	0.7284239407658	0.310852311848829	0.557807618327706	0.615889180034035	0.656705875478688	0.494205164084415	0.440343839895345
Per14	1.0471975511966	0.631705002771344	0.573542993171503	0.524183573410694	0.588493630079986	0.334498167014729	0	0.758123552657681	0.525429753509654	0.529332690712584	0.581602861433743	0.434230712011943	0.615830170811642	0.521497391993064	0.582455569724647	0.724545785537827	0.703987094089335	0.660990345308628	0.620525110709185	0.826655451454834	0.499956040071657	0.708885384152836	0.741421038526465	0.376907478650764	0.63401041526673	0.608326476079105	0.689553326405442	0.41312825334048	0.57201754183093
Per2	1.0471975511966	1.17966027847787	1.06690704845727	0.612315417609059	1.08497834762716	0.748705664277544	0.758123552657681	0	1.20176306200895	1.0068877195754	0.986996156648417	1.03055642595029	1.13042901968929	0.964502040267386	1.07629651879829	1.07172123309098	0.986445945271651	1.0587125529058	0.942460490351177	1.33207138663968	1.04180607862757	0.997505523642456	1.12249313543982	0.865683095095016	1.09453814557938	1.13823626068601	1.17593405675866	1.04906786754242	0.659105530035469
Per3	1.0471975511966	0.373187593165766	0.410335148778023	0.878533796648741	0.456123492181962	0.58972020380015	0.525429753509654	1.20176306200895	0	0.442642606424231	0.563306633779742	0.332643382909301	0.455643488547518	0.457983446915207	0.457864967512434	0.760741489358046	0.685579753331252	0.641465456267405	0.721801510501292	0.610675839195917	0.436263451695542	0.707699379488503	0.663357801318389	0.435769370497447	0.474886418436199	0.38224978445671	0.432746378382904	0.323467487222721	0.826501664638094
Per4	1.0471975511966	0.280253423193594	0.277300499336176	0.766966683365504	0.351772936940992	0.470817185321004	0.529332690712584	1.0068877195754	0.442642606424231	0	0.308920330424488	0.241853329628098	0.398411962580683	0.24884441669959	0.270285917545001	0.688235029746691	0.448729086470493	0.540336775158905	0.65816052537093	0.656750427123406	0.329207037331548	0.516727290439298	0.568649797839107	0.312221106899527	0.360839173918946	0.317330296920138	0.447941669099867	0.443342566149076	0.586128038141576
