	LN1	Lun1	Lun2a	Lun2b	Lun2c	Normal1	Per1	PTa1	PTa2	PTa3	PTa4	PTa5	PTb1	PTb2	PTb3	PTb4	PTb5	PTc1	PTc2	PTc3	PTc4	PTc5	TD1	TD2
LN1	0	0.968807316645644	1.0004411989216	0.993711989708633	1.0512829025142	1.0471975511966	0.357491254161604	0.343346441015036	0.334024658528676	0.249165669692073	0.257657794668302	0.20304776116277	0.981493649004128	0.986363889370248	1.11854014472473	0.883038215236841	0.952019264159183	0.805744668112112	0.75997704058564	0.816697239473803	0.769474713618294	0.795270417038188	0.22994307910601	0.277569466364319
Lun1	0.968807316645644	0	0.43812266515153	0.382315650559209	0.261465064288356	1.0471975511966	0.935047994241211	1.09310785831264	0.780304136341717	1.10849716554383	0.866403156390743	0.911783413407542	0.321895146374584	0.386777512482658	0.49106156918922	0.409939755051275	0.462771078214513	0.728168058382785	0.635022356971675	0.561583562623544	0.685137526815073	0.676644545582808	0.990374622698403	1.04378569365564
Lun2a	1.0004411989216	0.43812266515153	0	0.161180323555087	0.309033941662133	1.0471975511966	0.979259785304875	1.10075945829724	0.840763456434569	1.15191235844571	0.942962893202306	0.965091428585714	0.475709598150084	0.343958756780222	0.636335089892014	0.435534870443742	0.438894318226243	0.721727658099125	0.840334855226792	0.809317108971417	0.677923197942917	0.65987278509207	1.01140771381588	1.07206391235855
Lun2b	0.993711989708633	0.382315650559209	0.161180323555087	0	0.22520370038658	1.0471975511966	0.94452343601226	1.07639261883307	0.823998500831336	1.13083432562761	0.911822962609202	0.95047503356108	0.425338281404125	0.329120296336619	0.582834286560407	0.391452577084113	0.429065258831322	0.722487666798884	0.803273833090014	0.771181214437386	0.683095053757439	0.669194429743628	1.00708822869517	1.07297503065822
Lun2c	1.0512829025142	0.261465064288356	0.309033941662133	0.22520370038658	0	1.0471975511966	1.01741843920323	1.13706759499142	0.85412016529281	1.17529915976727	0.949508042627752	0.995930159972886	0.34337317864614	0.33376087756763	0.497489712941284	0.391754234939219	0.476906244136538	0.75528486225399	0.769883888311466	0.718783385547355	0.717063818181753	0.696955798768471	1.06797856735799	1.13058339631069
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.357491254161604	0.935047994241211	0.979259785304875	0.94452343601226	1.01741843920323	1.0471975511966	0	0.373556974156342	0.444391073329425	0.421359294786511	0.273890490012274	0.377044894590987	0.961270313227927	0.982215453035882	1.11683457330511	0.897148135807871	0.925543178752778	0.789690625867778	0.685584558393989	0.745389454761535	0.774214482639011	0.805361239201617	0.377146313347188	0.434639580054679
PTa1	0.343346441015036	1.09310785831264	1.10075945829724	1.07639261883307	1.13706759499142	1.0471975511966	0.373556974156342	0	0.405912840274137	0.237382592928512	0.296791063579635	0.334685529314383	1.05417942868581	1.08870457421861	1.21051540195157	0.960630716462492	1.07960589202804	0.873934112664962	0.84130240396042	0.92543919080493	0.874917363321332	0.889818613668544	0.378241185173843	0.427093739767757
PTa2	0.334024658528676	0.780304136341717	0.840763456434569	0.823998500831336	0.85412016529281	1.0471975511966	0.444391073329425	0.405912840274137	0	0.406416394501818	0.258400521716832	0.230210323105539	0.732789609491361	0.76686410423911	0.913938663469152	0.637428182307217	0.803872445720504	0.66251828082518	0.630746330727057	0.704513586800676	0.650517077794341	0.651370515809924	0.367624110969908	0.441010631923305
PTa3	0.249165669692073	1.10849716554383	1.15191235844571	1.13083432562761	1.17529915976727	1.0471975511966	0.421359294786511	0.237382592928512	0.406416394501818	0	0.319753255896648	0.279228946683228	1.10145301891153	1.13482740087164	1.21854579761554	1.0033282319225	1.12515826946875	0.936408499341766	0.881692137118699	0.955152520343274	0.926244051921472	0.937510364566855	0.332112476160131	0.347050560930496
