	Liv1	Liv2a	Liv2b	Liv2c	Liv3a	Liv3b	Liv3c	Liv3d	LN1a	LN1b	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	Per1	Per10	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Liv1	0	0.130002457684488	0.13124398155355	0.0760583770546716	0.149394201251918	0.100606043332635	0.143494062104892	0.123195845015199	0.355469177713895	0.381313703556685	1.0471975511966	0.263380697360444	0.257050843909097	0.541940213331333	0.229789447987147	0.32870952200059	0.270463911356065	0.394554683971791	0.406148151837523	0.49425072805139	0.302930704889755	0.445643180974421	0.291361390578589	0.373309087370118	0.260468199626529	0.293437453578059	0.369752220164013	0.429862914404086	0.261382726286714	0.287994879289385	0.208675389088631	0.289197267309332	0.274824106695808	0.23651442159254	0.281118366333843	0.296625018588129
Liv2a	0.130002457684488	0	0.107338934411607	0.111533814078374	0.141797670896857	0.109815458014339	0.137164966867923	0.15413063812999	0.361208664344631	0.371624515700634	1.0471975511966	0.268609141587542	0.260481340670582	0.545100559236185	0.279363631601565	0.333432586095855	0.296606750357977	0.369158839763415	0.392095302970223	0.532936314227234	0.307097742585562	0.477605302293619	0.320918376470176	0.359825695853913	0.312463749852206	0.278341144736428	0.345750064579929	0.468372667309173	0.3119800409715	0.245260032596145	0.256129379938788	0.273116978680397	0.30882783838212	0.23633643443105	0.337814173714273	0.290523186752059
Liv2b	0.13124398155355	0.107338934411607	0	0.113468808034861	0.175480472573771	0.0954731807426869	0.117396035674352	0.15271576198256	0.388306180779565	0.395021518611108	1.0471975511966	0.240339615379058	0.239458173072553	0.522109757353826	0.219139985060066	0.360481937225998	0.292875259276171	0.354659220061406	0.360161542858946	0.482650099898491	0.287551708710677	0.481090104054571	0.307377193909518	0.341569998730643	0.31599854229697	0.277141281826115	0.334232693245142	0.39915291373657	0.257250017126956	0.240589662592347	0.219106403987409	0.235206079009304	0.2799178058025	0.196531582123729	0.293347403420347	0.245952746720685
Liv2c	0.0760583770546716	0.111533814078374	0.113468808034861	0	0.131665617767523	0.0994088818964948	0.140408248469545	0.126409824069839	0.372464124004321	0.385227510746599	1.0471975511966	0.262502532920218	0.251509822967966	0.549056243712898	0.237058947398233	0.338606077886091	0.271283705081246	0.377447437474316	0.416382785676082	0.514262175272821	0.302190093039394	0.449172716111639	0.303290657780986	0.356129859891132	0.284246430731246	0.274230970882093	0.365171322850063	0.44634228425324	0.279227094485077	0.265438192084863	0.230741964766631	0.273522009282157	0.285547389759825	0.24116228050967	0.301727247061683	0.288500770043821
Liv3a	0.149394201251918	0.141797670896857	0.175480472573771	0.131665617767523	0	0.159407775833985	0.199307847813286	0.106642319808239	0.354661352019655	0.373746243473753	1.0471975511966	0.327493885409078	0.304513936666342	0.636450048729674	0.296477977353652	0.324350633723972	0.260378726264644	0.371461839154687	0.455090302721157	0.573440520119131	0.311374373486212	0.40414854317742	0.333803593395697	0.352284438821709	0.27470265503203	0.282705686909033	0.408823285720966	0.529427422275662	0.37433234896217	0.300261412296763	0.268730156768721	0.312814393602639	0.354176904421092	0.279662188800304	0.375303223607265	0.311769787691957
Liv3b	0.100606043332635	0.109815458014339	0.0954731807426869	0.0994088818964948	0.159407775833985	0	0.0680660011610699	0.139822981163128	0.368351209459828	0.381198301162162	1.0471975511966	0.231319061790542	0.233429376214302	0.500604369461036	0.20890519060737	0.338490047714644	0.276641208459496	0.371389523950653	0.365032981470324	0.460992562120574	0.288891566092377	0.462117228146133	0.292052626841305	0.365457161353364	0.288475287236245	0.284048404486758	0.340625503107051	0.401357108642875	0.253060771660283	0.2579046296225	0.20856827801099	0.2473953223653	0.240262324390405	0.204523205874251	0.277834708086137	0.269828348933271
Liv3c	0.143494062104892	0.137164966867923	0.117396035674352	0.140408248469545	0.199307847813286	0.0680660011610699	0	0.179948911492555	0.376960725338714	0.382790063235391	1.0471975511966	0.21605383640612	0.221836034925096	0.470821830157563	0.196025194760054	0.351036744841118	0.278244048659715	0.360810621693649	0.342466009533556	0.429408009251335	0.269997052394608	0.48046072788167	0.281719775320553	0.361526759850323	0.307564095639069	0.286347433876876	0.309247644668489	0.370641165158715	0.234349390629893	0.230038837824832	0.206079493889092	0.217002815530055	0.203219436839176	0.177958765665418	0.257886007111541	0.245491798146345
Liv3d	0.123195845015199	0.15413063812999	0.15271576198256	0.126409824069839	0.106642319808239	0.139822981163128	0.179948911492555	0	0.407408717280558	0.422989151767224	1.0471975511966	0.324246016704406	0.315912703784448	0.621670656304615	0.252674146462753	0.372890122318763	0.294147276905085	0.401194102108971	0.45320767417814	0.550384374150755	0.326409544380011	0.415615425487775	0.345653120104081	0.388095636129876	0.295807633283264	0.315907878488424	0.420693014810305	0.476680376335319	0.311941968884416	0.325787104379707	0.270480284345951	0.310251112814532	0.333475130546862	0.272878182494887	0.348106960154599	0.306859171929738
LN1a	0.355469177713895	0.361208664344631	0.388306180779565	0.372464124004321	0.354661352019655	0.368351209459828	0.376960725338714	0.407408717280558	0	0.177093610481935	1.0471975511966	0.351831821457068	0.336103265385616	0.594953798145687	0.446946381588508	0.181482131368087	0.28674682663483	0.3703834413475	0.402529159937105	0.554191792338011	0.34984399518951	0.506634262756733	0.298622428290712	0.385722660308945	0.279831135041044	0.326488815150117	0.384957243683914	0.583685477245007	0.516798984620815	0.342464694291449	0.299663824171307	0.401678738231965	0.425464338657057	0.358620569568222	0.455157824740138	0.382290933750832
LN1b	0.381313703556685	0.371624515700634	0.395021518611108	0.385227510746599	0.373746243473753	0.381198301162162	0.382790063235391	0.422989151767224	0.177093610481935	0	1.0471975511966	0.339584255332014	0.337959187428849	0.576932711418467	0.45096199722243	0.204975226482836	0.319754938988828	0.358505100712124	0.389523153777897	0.566535507171939	0.365754842962415	0.55963560331877	0.317674294194223	0.404365431769535	0.338086663327446	0.339205618234535	0.350696050389215	0.593438703229249	0.526634931073097	0.337540422440665	0.3236438313549	0.391151511708748	0.433355518060987	0.367672855255236	0.478083203370375	0.381543769264317
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.263380697360444	0.268609141587542	0.240339615379058	0.262502532920218	0.327493885409078	0.231319061790542	0.21605383640612	0.324246016704406	0.351831821457068	0.339584255332014	1.0471975511966	0	0.0882577249206744	0.366778775226194	0.246561122691814	0.308093737397585	0.280681832392359	0.346018910294188	0.244361165288622	0.386337253998777	0.281383731458003	0.532056936898408	0.237149589166774	0.365888864497879	0.328324194032111	0.286796889474461	0.288841570772122	0.37256570355736	0.290501074448237	0.266114471337776	0.222378388733712	0.275813348686018	0.276155661966661	0.227408306567976	0.281902055045651	0.277726808191041
