	Lun1a	Lun1b	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	OvH2a	OvH2b	OvH2c	Per1a	Per1b	Per1c	Per1d	Per1e	Per1f	Per1g	Per1h	Per1i	Per1j	Per2	Per3a	Per3b	Per3c	Per3d	PT1	PT2	PT3	PT4
Lun1a	0	0.202947118273826	1.0471975511966	0.356376675841234	0.323257444815552	0.325786483682206	0.427173036828033	0.281885350801916	0.335289059092015	0.366436436240051	0.24850990179522	0.297958337612615	0.276208350479769	0.28150134246041	0.267762685970805	0.254869127701446	0.54261729293834	0.507468819737936	0.43921309551052	0.345809638344716	0.472041103625435	0.856062886490636	0.456708361086256	0.35907802878052	0.361479788514818	0.585645158559238	0.731005628769932	0.678142049562753	0.659714513177926
Lun1b	0.202947118273826	0	1.0471975511966	0.417785297986644	0.375103191922589	0.349782345465043	0.480670183374671	0.32132831294588	0.402659317074587	0.404419760123083	0.203899895348716	0.285152620021511	0.248432298296666	0.255348382779036	0.263263808465368	0.219907741948207	0.521818129708123	0.451382544820402	0.362543651615673	0.313189194766775	0.558846552727373	0.917795344917007	0.550676944531443	0.379056285581558	0.441116536919442	0.603857963493273	0.749764046100117	0.665277692088622	0.612111931014312
Normal1	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
OvH1a	0.356376675841234	0.417785297986644	1.0471975511966	0	0.176251991986758	0.232384377079861	0.29882988097317	0.2398416747905	0.258926482417965	0.263645791851991	0.425185997341513	0.427777286085095	0.369985948530725	0.384615133744347	0.346917942745743	0.373838159288978	0.645048046502301	0.591940373678853	0.573837832472938	0.361114967615462	0.515336717577151	0.926291515187152	0.504367893626621	0.509890665207701	0.458794995207694	0.517332561427577	0.64372636253922	0.652987702162304	0.643225764880896
OvH1b	0.323257444815552	0.375103191922589	1.0471975511966	0.176251991986758	0	0.144284461153497	0.330590189167753	0.264206351547515	0.19138846483052	0.201008886613811	0.343185776201891	0.38340042992404	0.323651581901112	0.353123287612151	0.303410243547807	0.311497816524915	0.669199056011083	0.617444190989362	0.599106339166288	0.311351559440568	0.494114140832094	1.01853004084942	0.465194828204464	0.453820709010161	0.388394591444878	0.513417237837044	0.572705661080528	0.645246243655783	0.580040654996879
OvH1c	0.325786483682206	0.349782345465043	1.0471975511966	0.232384377079861	0.144284461153497	0	0.371627800528883	0.223264495890249	0.163295874326289	0.156076849390757	0.310108148530205	0.31165974989095	0.225788392552897	0.303034234298964	0.249196426652067	0.252667573369414	0.622338419537695	0.565013648553291	0.531819089890114	0.262080969219139	0.520856835015247	1.02222875022969	0.50500129532743	0.435772828779768	0.404380513383181	0.483361492170941	0.583695440452143	0.59839073080814	0.50765400230618
OvH1d	0.427173036828033	0.480670183374671	1.0471975511966	0.29882988097317	0.330590189167753	0.371627800528883	0	0.349010659706849	0.422480143881754	0.467410082122966	0.448911834399185	0.462000765689857	0.452867390205706	0.53495900412288	0.481097812158027	0.489155665147266	0.828595164829359	0.72378516709361	0.573249092637603	0.428226394699452	0.419783930920609	0.847108206399873	0.428631735477305	0.448124947180637	0.383684242476626	0.672116922125089	0.651840884494699	0.756967845081248	0.688506358793318
OvH2a	0.281885350801916	0.32132831294588	1.0471975511966	0.2398416747905	0.264206351547515	0.223264495890249	0.349010659706849	0	0.219080094527877	0.245372463646182	0.338692085133636	0.296826066342133	0.287239984480119	0.309378111200532	0.286953245337408	0.265051584728221	0.601526436245473	0.526305006856736	0.45922636777588	0.324672597663241	0.521348391494271	0.848738545933662	0.491048163015789	0.411466690692463	0.411011281144438	0.49084332173176	0.637988522692087	0.601656622688833	0.583901160965046
OvH2b	0.335289059092015	0.402659317074587	1.0471975511966	0.258926482417965	0.19138846483052	0.163295874326289	0.422480143881754	0.219080094527877	0	0.104433046179749	0.369266097330879	0.336640467786663	0.30527222055531	0.327455661194955	0.2724146020664	0.277322607043547	0.666686176637938	0.6339327421088	0.617847162845487	0.329384820127311	0.516781712918837	1.01153994423554	0.453085832432296	0.435878174620213	0.393043418265559	0.463734185006742	0.545435239239624	0.613602333912678	0.553638423339543
OvH2c	0.366436436240051	0.404419760123083	1.0471975511966	0.263645791851991	0.201008886613811	0.156076849390757	0.467410082122966	0.245372463646182	0.104433046179749	0	0.384120552117323	0.365551597730674	0.301480549077812	0.310284713093978	0.272579555745843	0.268219171947846	0.614636287139472	0.587994756943055	0.611197069171916	0.316028555422474	0.57494099860704	1.05395762952651	0.539879053105545	0.499261287136907	0.460334593038018	0.443053182112705	0.57794956821133	0.592247641553322	0.539614082078618
Per1a	0.24850990179522	0.203899895348716	1.0471975511966	0.425185997341513	0.343185776201891	0.310108148530205	0.448911834399185	0.338692085133636	0.369266097330879	0.384120552117323	0	0.218515240122257	0.234033890044201	0.261816646738205	0.255706981698308	0.217186767394339	0.599680372601779	0.518401397102591	0.423769550236266	0.264925510180758	0.517247927172557	0.925976470246223	0.487450954255119	0.305957192150741	0.338718863343162	0.601159918908485	0.691267173286557	0.665281072215725	0.555670652969891
Per1b	0.297958337612615	0.285152620021511	1.0471975511966	0.427777286085095	0.38340042992404	0.31165974989095	0.462000765689857	0.296826066342133	0.336640467786663	0.365551597730674	0.218515240122257	0	0.201807875384038	0.254512758387017	0.22591432917869	0.205831051774042	0.612660789077191	0.52737830345314	0.404673040191037	0.283653627024211	0.54036342788009	0.906800193012322	0.490530850738472	0.326429980585855	0.387437215757799	0.58463011782281	0.702688198951506	0.661524983133536	0.562583141271369
Per1c	0.276208350479769	0.248432298296666	1.0471975511966	0.369985948530725	0.323651581901112	0.225788392552897	0.452867390205706	0.287239984480119	0.30527222055531	0.301480549077812	0.234033890044201	0.201807875384038	0	0.229267937005211	0.173401554575148	0.188392943327985	0.545642606177061	0.475082188064175	0.398822885669868	0.21657374810575	0.537424823515666	0.985903875797255	0.534006526945741	0.386416873209407	0.412676144384645	0.531874011889829	0.677590757364502	0.60743865256543	0.495538803936078
Per1d	0.28150134246041	0.255348382779036	1.0471975511966	0.384615133744347	0.353123287612151	0.303034234298964	0.53495900412288	0.309378111200532	0.327455661194955	0.310284713093978	0.261816646738205	0.254512758387017	0.229267937005211	0	0.124283550675297	0.140989770163383	0.442051692698918	0.395372081165048	0.437481032170077	0.286950802637767	0.648375585908192	0.959660413796132	0.570608003031047	0.461440884616931	0.479210679176319	0.469290650140024	0.718661091188079	0.562249279684483	0.546788038842482
Per1e	0.267762685970805	0.263263808465368	1.0471975511966	0.346917942745743	0.303410243547807	0.249196426652067	0.481097812158027	0.286953245337408	0.2724146020664	0.272579555745843	0.255706981698308	0.22591432917869	0.173401554575148	0.124283550675297	0	0.127246210289626	0.52256380675421	0.470189855316123	0.468506946407928	0.255902905640507	0.579126375759073	0.990745550972847	0.499912603955717	0.413882472927193	0.422778103061049	0.473284133860865	0.663326589065846	0.580894263443326	0.518765101277571
Per1f	0.254869127701446	0.219907741948207	1.0471975511966	0.373838159288978	0.311497816524915	0.252667573369414	0.489155665147266	0.265051584728221	0.277322607043547	0.268219171947846	0.217186767394339	0.205831051774042	0.188392943327985	0.140989770163383	0.127246210289626	0	0.519280735725263	0.453031289509765	0.443713305111917	0.240071219078196	0.575220244191193	0.981704287111267	0.532946717058733	0.399468325597853	0.425585344708169	0.503036892385429	0.67996571430192	0.600499186266233	0.535908378136996
Per1g	0.54261729293834	0.521818129708123	1.0471975511966	0.645048046502301	0.669199056011083	0.622338419537695	0.828595164829359	0.601526436245473	0.666686176637938	0.614636287139472	0.599680372601779	0.612660789077191	0.545642606177061	0.442051692698918	0.52256380675421	0.519280735725263	0	0.254164445708792	0.483534307534556	0.635919794236502	0.946181971415408	0.978755794290878	0.944728080955157	0.822335470031379	0.838600661053643	0.623404977450383	1.05736588946665	0.647409399613913	0.777354269488827
