	Liv1	Normal1	Per1	Per2	Per3	Per4	Per5	Per6a	Per6b	Per7	PT1	PT2	PT3	PT4	PT5
Liv1	0	1.0471975511966	0.616429509793569	0.922907946023529	0.285783470829624	0.946626256663	0.389187315699448	0.653181387858988	0.155046080180694	0.660741567367776	0.535518937003709	0.52669328599718	0.68466868790147	0.665118638219607	1.24776688562024
Normal1	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
Per1	0.616429509793569	1.0471975511966	0	0.790887876995579	0.531214341588373	0.66511092379269	0.650092685764692	0.870505400795398	0.628008699268861	0.530478021433892	0.591139993914476	0.564064861021238	0.489115971153624	0.469879709069032	1.02821129595489
Per2	0.922907946023529	1.0471975511966	0.790887876995579	0	0.894343087370863	0.559418783136868	0.768263332088151	1.35050857570902	0.976936602362016	0.657550102237687	1.09794613992332	1.09003088900812	0.826957696461897	0.846658296293804	0.753439528160721
Per3	0.285783470829624	1.0471975511966	0.531214341588373	0.894343087370863	0	0.879870490771102	0.457180110094966	0.745184200801946	0.284006213814619	0.657375633314052	0.555597372960003	0.520919453136002	0.580860766684767	0.621944584514925	1.19558392053051
Per4	0.946626256663	1.0471975511966	0.66511092379269	0.559418783136868	0.879870490771102	0	0.816434210372221	1.24080930473556	1.0129117137009	0.569328729374427	0.959450701140624	0.961793163578814	0.724881431962465	0.692150159617979	0.720024526570861
Per5	0.389187315699448	1.0471975511966	0.650092685764692	0.768263332088151	0.457180110094966	0.816434210372221	0	0.742350766988904	0.423043482574066	0.694833015719871	0.667168322254673	0.657337209885786	0.764301521028866	0.661896534197163	1.06851598933162
Per6a	0.653181387858988	1.0471975511966	0.870505400795398	1.35050857570902	0.745184200801946	1.24080930473556	0.742350766988904	0	0.604132215705933	1.03461879787282	0.517013897038319	0.514245590044477	0.931499387709795	0.751305446768111	1.49729455537033
Per6b	0.155046080180694	1.0471975511966	0.628008699268861	0.976936602362016	0.284006213814619	1.0129117137009	0.423043482574066	0.604132215705933	0	0.704688987348395	0.497579454799988	0.488662316395189	0.68892450803549	0.664424800528464	1.28171748609471
Per7	0.660741567367776	1.0471975511966	0.530478021433892	0.657550102237687	0.657375633314052	0.569328729374427	0.694833015719871	1.03461879787282	0.704688987348395	0	0.648514519339449	0.66387140910804	0.464230814783378	0.461201263059718	0.856478493734835
PT1	0.535518937003709	1.0471975511966	0.591139993914476	1.09794613992332	0.555597372960003	0.959450701140624	0.667168322254673	0.517013897038319	0.497579454799988	0.648514519339449	0	0.13515888374246	0.507250236953622	0.432597276044505	1.18083818396244
PT2	0.52669328599718	1.0471975511966	0.564064861021238	1.09003088900812	0.520919453136002	0.961793163578814	0.657337209885786	0.514245590044477	0.488662316395189	0.66387140910804	0.13515888374246	0	0.480595811653555	0.44295937259757	1.17491139494713
PT3	0.68466868790147	1.0471975511966	0.489115971153624	0.826957696461897	0.580860766684767	0.724881431962465	0.764301521028866	0.931499387709795	0.68892450803549	0.464230814783378	0.507250236953622	0.480595811653555	0	0.476381191331768	0.956052600393247
PT4	0.665118638219607	1.0471975511966	0.469879709069032	0.846658296293804	0.621944584514925	0.692150159617979	0.661896534197163	0.751305446768111	0.664424800528464	0.461201263059718	0.432597276044505	0.44295937259757	0.476381191331768	0	0.982517884883658
PT5	1.24776688562024	1.0471975511966	1.02821129595489	0.753439528160721	1.19558392053051	0.720024526570861	1.06851598933162	1.49729455537033	1.28171748609471	0.856478493734835	1.18083818396244	1.17491139494713	0.956052600393247	0.982517884883658	0
