	Liv1a	Liv1b	Liv1c	Liv2	LN1	LN2	LN3	LN4	LN5a	LN5b	LN6	Normal1	Per1	Per10	Per11	Per12	Per13	Per14a	Per14b	Per14c	Per15a	Per15b	Per15c	Per16a	Per16b	Per16c	Per2	Per3	Per4a	Per4b	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Liv1a	0	0.189964544400603	0.274291551768811	0.758995875934177	0.381496463713454	0.38669404867076	0.429953728789215	0.32819616727481	0.396360302283131	0.461202675756168	0.377786964116328	1.0471975511966	0.302026521513695	0.402286185464792	0.509476934110766	0.443893128538061	0.637302397246603	1.13064792489854	0.637160352541342	0.893498011818394	0.541747322247924	0.56396753753414	0.580097670263953	0.723248008765358	0.625660037510602	0.688892794458983	0.448058292868168	0.394489081597728	0.474475346561852	0.483703041254957	0.595361829624221	0.467413246180368	0.772274566384691	0.30609220105029	0.403204827935395	0.295628945064727	0.562874369559487	0.346334168989794	0.440139108722877	0.412351993099156	0.372592272116435	0.273658534751098	0.324092046501438	0.469830392942417	0.554972722101554
Liv1b	0.189964544400603	0	0.331111935214072	0.800201770210862	0.436732448684677	0.416524002670464	0.527044949327135	0.393761685922199	0.407832085704147	0.474828996209771	0.434733631039313	1.0471975511966	0.339299087298315	0.43545084408216	0.505194926525811	0.452392164864228	0.66262423517013	1.15578731538275	0.604810389878323	0.885545504839718	0.570540126904664	0.622515505624117	0.638310518049651	0.792989672294779	0.696434481319015	0.754961177726091	0.473029896349037	0.426158126372109	0.522601314895276	0.481676067654819	0.633637107063503	0.438752647294304	0.759954871130468	0.346462451850056	0.398045838197953	0.306902537314244	0.490485457219332	0.311687441928406	0.419151859948016	0.45060293398187	0.404367518144866	0.29104510953764	0.275970646437461	0.487257360828972	0.507548550658934
Liv1c	0.274291551768811	0.331111935214072	0	0.638412046302463	0.431619414194793	0.473399364600241	0.505539272421943	0.424368390521132	0.405352588301545	0.397928393239977	0.41654753458941	1.0471975511966	0.374755839664425	0.378992059433369	0.37534800239639	0.35379615566329	0.524995758898998	1.09817048311392	0.450854739539075	0.799468848857969	0.410552553386537	0.532127089650446	0.506642998414418	0.635304865044487	0.557748789692521	0.65909713673169	0.370117582324532	0.372761461658769	0.432587124475108	0.403665995742207	0.492331809685143	0.38360232036441	0.639408456415869	0.409687425387386	0.313252200805525	0.365004544205401	0.596820411014016	0.396594633117896	0.525889696320454	0.383064587133259	0.365040724391409	0.396079758675184	0.345630711126045	0.51104936883343	0.493121936894628
Liv2	0.758995875934177	0.800201770210862	0.638412046302463	0	0.595506428289917	0.677624279612566	0.69051066163286	0.712174075821872	0.612424632444651	0.575348099742673	0.558326204720926	1.0471975511966	0.675861954665662	0.535679090774433	0.529068926052628	0.603703376101144	0.349503761581357	0.877206227350334	0.514228602909521	0.579821239984465	0.45398378414815	0.48521711666341	0.395250131891784	0.29804336044265	0.387723799015165	0.350692591395363	0.520378193304853	0.522488864775298	0.497797628347726	0.529781062804781	0.445923575699979	0.555732902210948	0.770504650520585	0.651236933019011	0.549156302749222	0.645701471867677	0.881096609072595	0.670995229247074	0.754121679573711	0.57055456096746	0.600762133481448	0.674161661974279	0.702633300020349	0.624094341677474	0.737428434886188
LN1	0.381496463713454	0.436732448684677	0.431619414194793	0.595506428289917	0	0.292515661975974	0.354205153302444	0.273689888436855	0.202613676978729	0.322597220599248	0.162724679504839	1.0471975511966	0.242993401077885	0.234165250089458	0.379140899095491	0.379985396116678	0.431525459320229	1.12803643808295	0.555333473743575	0.833931142721587	0.37457363505997	0.337124662075045	0.394912818539332	0.605054538356618	0.447239457704804	0.565112532083952	0.309466983531258	0.208608983178165	0.280298188929352	0.315978276990733	0.479306302285915	0.388599633486272	0.660791946400223	0.22978924278438	0.331721118976921	0.246002163496329	0.512700457799461	0.343430113493077	0.454888878513046	0.192034248243445	0.228219345544051	0.325706961543609	0.343307851746381	0.359200260634072	0.540153026910433
LN2	0.38669404867076	0.416524002670464	0.473399364600241	0.677624279612566	0.292515661975974	0	0.420413465999923	0.330973258737702	0.289361103551593	0.421019790025897	0.293408115411264	1.0471975511966	0.361489147257378	0.34790287212779	0.472364955253793	0.449226511119248	0.568272401174766	1.160023515568	0.659155727872653	0.856437990932632	0.458456995580673	0.490557958377942	0.505270500057602	0.701244759769751	0.553287060516519	0.571080467196981	0.429086950717033	0.357955518936697	0.468738691340823	0.455439107334282	0.551978215263729	0.490092989284108	0.741325034353055	0.279390261268294	0.412514749470297	0.288093439325994	0.524671662471308	0.325333735724258	0.494330033012834	0.367872885788721	0.328026177084829	0.344052175819044	0.393674041804356	0.352513388666371	0.503896532350409
LN3	0.429953728789215	0.527044949327135	0.505539272421943	0.69051066163286	0.354205153302444	0.420413465999923	0	0.287952564583298	0.449997323316303	0.572749993502128	0.354714419732128	1.0471975511966	0.426769245824534	0.45888359432974	0.581372360544467	0.573362603747142	0.573999563938731	1.08867084985604	0.694560119697248	0.894971419529674	0.552463009208255	0.450216367276158	0.500640117260462	0.635719638861581	0.527441765616292	0.573889043526016	0.46430583071072	0.469002767310981	0.451723805309665	0.514805379666094	0.568316144649278	0.576485965773106	0.781248351753876	0.436601990825019	0.525721879374298	0.391779893612489	0.637823853536029	0.489335077946973	0.455323795911165	0.436584820263403	0.473436396051924	0.363990316140323	0.457753476339186	0.456975276047593	0.580866588364478
LN4	0.32819616727481	0.393761685922199	0.424368390521132	0.712174075821872	0.273689888436855	0.330973258737702	0.287952564583298	0	0.303967291350808	0.462758721444808	0.263662028891082	1.0471975511966	0.32228150812804	0.310402858262128	0.487592298881433	0.392758500666898	0.567649928960913	1.20858352240657	0.645651367456494	0.931274375616581	0.479195038766587	0.454196387305461	0.492816819953321	0.721362935980951	0.586719283561027	0.65631941065019	0.408160861813556	0.373501461367985	0.438332758577134	0.437417578193315	0.593127814120347	0.479658756658816	0.655897898516984	0.26540064731097	0.431177499913259	0.224800235685371	0.492855363881571	0.34535865216063	0.444418295811346	0.298547303004242	0.319083428462165	0.281486796423817	0.357285109434777	0.342759550775648	0.556687031727167
LN5a	0.396360302283131	0.407832085704147	0.405352588301545	0.612424632444651	0.202613676978729	0.289361103551593	0.449997323316303	0.303967291350808	0	0.264070241438381	0.199540353594882	1.0471975511966	0.275915199304956	0.235041217720587	0.299028095672092	0.294000434451698	0.430247476736614	1.18162453682392	0.507594956048677	0.844681458148486	0.324809298926647	0.375623275438011	0.404133211213986	0.653550812092703	0.478112512275152	0.61977466812904	0.272264634439719	0.211531905192044	0.320077681078846	0.296702405394659	0.473564481626288	0.322681425095866	0.588204075974296	0.223866439442879	0.274377824948208	0.23107368715868	0.458488853889058	0.315391164159779	0.464404692071991	0.207367211239954	0.206771247581723	0.320199175541158	0.295841940936262	0.341766806068094	0.48501674874122
LN5b	0.461202675756168	0.474828996209771	0.397928393239977	0.575348099742673	0.322597220599248	0.421019790025897	0.572749993502128	0.462758721444808	0.264070241438381	0	0.313569739219275	1.0471975511966	0.32501457433298	0.314211665867882	0.25231582217261	0.359096403539505	0.389890435174821	1.09873322273466	0.463339597970584	0.753280123791946	0.323064751298217	0.452754745749225	0.479143146228189	0.620247167835607	0.471938760475403	0.602152712270945	0.233074401160776	0.240265794135948	0.37407010704908	0.278396543348395	0.454544630583046	0.302044532903151	0.620817874900571	0.383395210664915	0.184917426880071	0.385552966641151	0.518964941048808	0.447523531282612	0.537682842183053	0.318547886851441	0.318696444772261	0.459986491848864	0.386260157376347	0.47390554987145	0.528755448173243
