	LN1	LN2a	LN2b	Normal1	Per1	Per2	Per3	Per4	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1
LN1	0	17.6611977676085	15.4539603610945	44.7075926780552	25.8928964306387	24.3950093528354	27.9936267284787	27.3697114415843	19.8194187639965	22.1717423916703	20.3628826540374	26.0943245228607	29.9429943298365	21.9946276790471	25.8950638340568	16.5169704258449	16.4922588772202
LN2a	17.6611977676085	0	10.3689185951966	40.347770938569	21.916079922357	20.9036463718075	23.7164860455394	23.2172231617675	20.0922073216756	18.8742174148659	16.6542333240316	20.1971460327027	31.0800057010694	11.4050857970636	16.4065098430293	17.1855198277592	12.5921249238534
LN2b	15.4539603610945	10.3689185951966	0	38.4429457798408	20.0294458102345	18.6985573144873	21.806178918486	21.8575886558145	15.3998057983525	16.2046869583467	14.5305237684382	20.7903115184315	30.6180842609898	15.7516613648022	17.360916710633	13.3725388095541	9.78215055814817
Normal1	44.7075926780552	40.347770938569	38.4429457798408	0	34.1812588155508	33.8748277515852	34.2423988583146	34.0859800728823	40.8054974193868	38.8744167538586	36.4775874614832	35.3560509152277	45.0476540669334	40.6489578481866	41.8214054162878	42.4794122539842	42.2533399005524
Per1	25.8928964306387	21.916079922357	20.0294458102345	34.1812588155508	0	6.52790176680612	5.19846342458314	11.2631720176216	24.2860680856886	16.9400811391941	14.8357815210263	22.8221858031686	25.2354001135715	21.0856381840341	26.5009312432246	23.65257647776	22.6523082714572
Per2	24.3950093528354	20.9036463718075	18.6985573144873	33.8748277515852	6.52790176680612	0	7.57621203761674	11.6223811295376	23.0816553966463	16.6757850891942	13.792716022015	21.1502642817282	24.2898553076864	21.764272535994	26.719635383295	22.5102882634579	21.6480092499879
Per3	27.9936267284787	23.7164860455394	21.806178918486	34.2423988583146	5.19846342458314	7.57621203761674	0	11.5614999138404	25.502943954269	18.9963806369507	16.8281820275909	24.1211929658052	26.1929578048749	22.6421049624851	28.5643460986064	25.6420411720762	24.6241749209419
Per4	27.3697114415843	23.2172231617675	21.8575886558145	34.0859800728823	11.2631720176216	11.6223811295376	11.5614999138404	0	25.0359068839426	19.1213887930334	17.0459575713668	23.3997694539286	28.2900114990879	23.0838182094909	28.0016525032457	24.8693186666241	23.6592345933642
PT1	19.8194187639965	20.0922073216756	15.3998057983525	40.8054974193868	24.2860680856886	23.0816553966463	25.502943954269	25.0359068839426	0	22.5801693380892	21.8203166571343	26.6713470593193	34.1860248357108	23.3792245805227	27.7331275010412	9.25444715531377	12.0558947197742
PT2	22.1717423916703	18.8742174148659	16.2046869583467	38.8744167538586	16.9400811391941	16.6757850891942	18.9963806369507	19.1213887930334	22.5801693380892	0	9.97607520255686	22.2016902439553	26.6982876599168	20.6581000921788	22.633837086035	20.3917646922375	18.7082087313478
PT3	20.3628826540374	16.6542333240316	14.5305237684382	36.4775874614832	14.8357815210263	13.792716022015	16.8281820275909	17.0459575713668	21.8203166571343	9.97607520255686	0	19.3980889304684	24.4544485069899	19.2297225690448	20.749952844396	19.4323794633658	17.7722237616594
PT4	26.0943245228607	20.1971460327027	20.7903115184315	35.3560509152277	22.8221858031686	21.1502642817282	24.1211929658052	23.3997694539286	26.6713470593193	22.2016902439553	19.3980889304684	0	31.9571674288686	22.3676113347108	25.7228880008062	25.508773116369	23.1450256141139
PT5	29.9429943298365	31.0800057010694	30.6180842609898	45.0476540669334	25.2354001135715	24.2898553076864	26.1929578048749	28.2900114990879	34.1860248357108	26.6982876599168	24.4544485069899	31.9571674288686	0	32.9010535972869	35.5376508523162	32.6124692279853	32.3054148160047
PT6	21.9946276790471	11.4050857970636	15.7516613648022	40.6489578481866	21.0856381840341	21.764272535994	22.6421049624851	23.0838182094909	23.3792245805227	20.6581000921788	19.2297225690448	22.3676113347108	32.9010535972869	0	19.8196851428854	20.7537093178369	16.7496422595442
PT7	25.8950638340568	16.4065098430293	17.360916710633	41.8214054162878	26.5009312432246	26.719635383295	28.5643460986064	28.0016525032457	27.7331275010412	22.633837086035	20.749952844396	25.7228880008062	35.5376508523162	19.8196851428854	0	25.0858362923258	20.9234706922407
PT8	16.5169704258449	17.1855198277592	13.3725388095541	42.4794122539842	23.65257647776	22.5102882634579	25.6420411720762	24.8693186666241	9.25444715531377	20.3917646922375	19.4323794633658	25.508773116369	32.6124692279853	20.7537093178369	25.0858362923258	0	8.33839313069066
TD1	16.4922588772202	12.5921249238534	9.78215055814817	42.2533399005524	22.6523082714572	21.6480092499879	24.6241749209419	23.6592345933642	12.0558947197742	18.7082087313478	17.7722237616594	23.1450256141139	32.3054148160047	16.7496422595442	20.9234706922407	8.33839313069066	0
