	Di1-A	Ld1-A	Ld2-A	Liv1-A	LN2	LN3	LN4	Lun1	Lun2	Lun3-A	Normal1	Ov1-A	Ov2-A	Pa1-A	Per2-A	Per3-A	Per4-A	Plu1-A	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8-A	SB1-A	SB2-A	Sp1-A	St1-A	St2-A
Di1-A	0	84.0960794534674	103.352335079752	26.0803180385604	61.2743591824817	58.8904014543096	61.1958555024946	65.4440701105121	64.0185592080682	68.1751345975111	138.917800967402	38.9563243694663	34.9024659826778	20.9985820141719	15.7975308695045	21.3454627616335	16.8900411709068	28.2223247240004	57.3815595526416	57.5402669921444	51.1257435660665	70.1498594614179	52.0476771159792	63.535933258769	71.2139393943429	17.0987869740843	16.7900860577149	16.5544644624429	16.7332052300244	21.7910291514279	21.1904046062398
Ld1-A	84.0960794534674	0	77.3441250160762	93.3688880308145	71.0852780367898	75.6006167354016	72.3354474657985	80.5094542504986	70.3966336736717	76.1081769586019	150.16076759512	79.3328751116763	85.8455623147031	83.2274819451832	84.7519409950289	85.752833421774	86.4056575885344	81.956724832134	74.2188815841601	70.7611822358499	66.8090490625797	85.822355819561	69.731911617204	74.4553131228697	78.9390304183011	84.0225884828439	82.5363179285167	85.905320428734	86.568216401706	89.2478827661129	82.8374622765694
Ld2-A	103.352335079752	77.3441250160762	0	106.116625183506	90.5807336485278	97.9049147561328	96.3954030951051	101.440409427948	84.5511941676244	100.446848117916	190.312681578455	103.314176130951	106.856511552536	98.7541373965291	102.647942937613	101.018382542917	104.300464532672	103.932837950676	98.2968592426455	86.4845921520129	89.4278430604756	99.1354653247201	88.5818226961127	93.4490095349867	103.063439996795	104.013974200786	102.608964237967	104.246943639913	101.815251299567	102.417454002717	102.34405966174
Liv1-A	26.0803180385604	93.3688880308145	106.116625183506	0	74.7678970592539	70.3496480910555	78.0159475198556	81.3591795611166	71.0705183293912	83.3142144798418	153.858365198155	56.1310439802294	49.1007990056536	26.35995358331	22.3085373202938	23.6992149358937	20.872073360989	41.7474640753588	69.4638854578435	67.4894281382174	64.1946715643325	80.0132051392594	64.0750463274693	78.9719855698442	90.1570466676885	32.3070153592616	30.6079314651036	21.0786012222928	16.4046154556413	16.1513937878389	33.4063676299011
LN2	61.2743591824817	71.0852780367898	90.5807336485278	74.7678970592539	0	32.7084220435803	39.783128232241	46.2057201586057	50.3078650449022	57.1327565014491	140.060855832851	54.9013879649958	57.0068499124418	65.8531834799103	63.9280963298847	66.426619138875	67.179145520829	60.7178611249485	27.0470408075459	28.9174106435583	28.2784780029873	51.4657915921209	32.2346375498585	41.107830370092	46.6504228728448	63.2599357012476	61.9962214814024	69.3006191546208	67.8368828911268	70.6629837139666	67.2036316786554
LN3	58.8904014543096	75.6006167354016	97.9049147561328	70.3496480910555	32.7084220435803	0	44.0309205722549	50.220391125159	44.9300768992407	51.7143117945662	125.601420407132	60.7005241531483	57.9185705817396	67.3290606342533	62.9537632413562	68.2939617286066	65.0936442120847	54.4857740575092	19.5282679940944	34.8352855222504	24.3576035853387	53.0667058284094	30.2022191897905	47.1676636145863	56.4006644036985	63.1251112843145	62.7433693724037	66.0651693154845	65.7906122218962	69.8642516470311	66.9382250865662
LN4	61.1958555024946	72.3354474657985	96.3954030951051	78.0159475198556	39.783128232241	44.0309205722549	0	42.6499371129142	47.9357889711754	43.0648186332302	123.372823705104	54.6842057620498	55.7836174045245	69.1538745374773	65.6326473742557	70.8223044389863	67.9471321422356	57.1089366544167	43.170289863375	45.2275061467194	36.289362338927	56.6580600090192	36.5798528621704	39.1861504595162	41.5155545780452	64.2495043804749	62.4726873978217	67.9430179536763	69.8201776490107	74.5240505598401	67.464228851855
Lun1	65.4440701105121	80.5094542504986	101.440409427948	81.3591795611166	46.2057201586057	50.220391125159	42.6499371129142	0	58.8515544225186	44.9086741283678	134.485906471136	63.9037155544451	59.4831535126272	71.3722321919531	68.9194148228015	73.1530339212098	71.2789311834953	61.2835250043461	50.6595550470774	53.4362284988993	47.7946843286666	70.8714864648322	51.7450204871986	52.8846871922935	51.0510301725517	69.9284465035311	67.6684912491194	73.6676718155702	73.7649349433965	76.8756714791111	70.2719905758989
Lun2	64.0185592080682	70.3966336736717	84.5511941676244	71.0705183293912	50.3078650449022	44.9300768992407	47.9357889711754	58.8515544225186	0	51.2874992575874	140.591655016089	69.2334337780412	63.9138884537044	69.2833926706762	67.2961190911091	71.1596426003095	68.3698650175679	62.1611199078832	47.8188695916547	48.3466519754395	44.3968704696627	60.6829519116973	45.205145901464	58.9236927155455	67.2155399187438	68.9740405102959	67.6403355553964	68.3117708147896	67.708192295897	71.4160208983126	71.421174714984
Lun3-A	68.1751345975111	76.1081769586019	100.446848117916	83.3142144798418	57.1327565014491	51.7143117945662	43.0648186332302	44.9086741283678	51.2874992575874	0	114.60132626624	65.5760527186497	63.054605191551	76.3008824629529	72.9272100880003	79.2606832031014	73.4105056413476	61.2399611365065	55.0580794898818	60.8875452076815	49.0220320843951	75.5550916516954	52.9590167895293	59.8021209553909	57.3002266726852	70.4081918645156	70.7876262586102	73.8370543045208	76.5998942237831	81.9578338079333	74.2311805148641
Normal1	138.917800967402	150.16076759512	190.312681578455	153.858365198155	140.060855832851	125.601420407132	123.372823705104	134.485906471136	140.591655016089	114.60132626624	0	133.131408603912	133.512617701148	152.420311922594	144.601931951982	153.924933944686	144.022793317302	129.169578864536	128.666232775271	145.664697221933	129.844721136179	140.393264829412	133.280396290283	139.139897658845	131.754119936158	139.685033107869	141.147178237759	142.843975113721	149.851549521051	155.892641355509	145.1895735551
Ov1-A	38.9563243694663	79.3328751116763	103.314176130951	56.1310439802294	54.9013879649958	60.7005241531483	54.6842057620498	63.9037155544451	69.2334337780412	65.5760527186497	133.131408603912	0	30.1766303646598	44.746290376977	42.3394635997267	43.6269208001259	44.0203477064173	45.9467910334542	57.6543886311953	58.2884225298544	50.6424354088987	65.398248951083	52.7467772158099	58.0994182712483	61.6814208213087	37.8195531284449	35.7903401704623	46.4293977671459	46.8747307995636	50.5323140380673	42.5949775472129
Ov2-A	34.9024659826778	85.8455623147031	106.856511552536	49.1007990056536	57.0068499124418	57.9185705817396	55.7836174045245	59.4831535126272	63.9138884537044	63.054605191551	133.512617701148	30.1766303646598	0	45.6465236683694	39.5099029460176	42.5020767888671	40.5765191418554	42.3635286514843	56.4032011073969	60.0113950445352	51.8866057682972	69.311941123075	53.2262058294164	64.0063269323561	69.8822032135563	38.7460667630831	36.3983725155159	44.1103100153196	44.0381980651033	47.4250156230467	46.0194281290383
Pa1-A	20.9985820141719	83.2274819451832	98.7541373965291	26.35995358331	65.8531834799103	67.3290606342533	69.1538745374773	71.3722321919531	69.2833926706762	76.3008824629529	152.420311922594	44.746290376977	45.6465236683694	0	14.6897121117574	13.7486204461608	17.3014871813085	35.5321379121773	65.0608326627483	60.9040317284337	57.2575355020302	75.4001866010747	58.3385641742795	67.3239627110196	75.2289461318306	21.528188385269	19.7984227827247	19.7290708061437	15.5687664669637	15.6722816742896	15.1335955998713
