a	b	r
E3A1	E3A2a	0.852324101818315
E3A1	E3A2b	0.912549037400791
E3A1	E3A2c	0.96666997921281
E3A1	E3B1	0.0510390078286173
E3A1	E3L2	0.02289378707363
E3A1	E3L3	-0.171790894706684
E3A1	E3L4	-0.205277706187952
E3A1	E3N1	NA
E3A1	E3N4	0.42233670465749
E3A1	E3P10b	0.830912764752186
E3A1	E3P11b	0.786234438981157
E3A1	E3P12b	0.789048675878933
E3A1	E3P13b	0.804002718840249
E3A1	E3P14b	0.773455327171665
E3A1	E3P15c	0.112987715311698
E3A1	E3P16c	0.410601261265318
E3A1	E3P17c	0.581497040141069
E3A1	E3P18c	0.215043772796985
E3A1	E3P19c	0.290607534757184
E3A1	E3P1a	-0.0696794012284851
E3A1	E3P20c	0.0617782330280524
E3A1	E3P3a	0.256185681154804
E3A1	E3P4a	-0.0751994730369754
E3A1	E3P5a	0.138708850973322
E3A1	E3P6a	-0.014896383625414
E3A1	E3P7b	0.77013142826181
E3A1	E3P8b	0.898590727360006
E3A1	E3P9b	0.879201318807267
E3A2a	E3A2b	0.967400755486154
E3A2a	E3A2c	0.915023581687108
E3A2a	E3B1	-0.0146266267831102
E3A2a	E3L2	0.0690112831198457
E3A2a	E3L3	-0.141293902711367
E3A2a	E3L4	-0.20349410425468
E3A2a	E3N1	NA
E3A2a	E3N4	0.353163338836555
E3A2a	E3P10b	0.952420280736787
E3A2a	E3P11b	0.572815702828742
E3A2a	E3P12b	0.852907369272236
E3A2a	E3P13b	0.802925757086119
E3A2a	E3P14b	0.892652335923991
E3A2a	E3P15c	0.248849366898076
E3A2a	E3P16c	0.155967859270859
E3A2a	E3P17c	0.254679195449271
E3A2a	E3P18c	0.337386817408787
E3A2a	E3P19c	0.433001725773008
E3A2a	E3P1a	-0.0174698022651329
E3A2a	E3P20c	0.171868573226988
E3A2a	E3P3a	0.330806693433932
E3A2a	E3P4a	-0.0488718784957043
E3A2a	E3P5a	0.131132906584089
E3A2a	E3P6a	0.016619212502819
E3A2a	E3P7b	0.820994618246506
E3A2a	E3P8b	0.919453391697742
E3A2a	E3P9b	0.723393898911428
E3A2b	E3A2c	0.963391104504139
E3A2b	E3B1	0.0552963949555918
E3A2b	E3L2	0.0936304753949594
E3A2b	E3L3	-0.115268029836783
E3A2b	E3L4	-0.184373736679278
E3A2b	E3N1	NA
E3A2b	E3N4	0.276025997095327
E3A2b	E3P10b	0.935514317451681
E3A2b	E3P11b	0.660024676772299
E3A2b	E3P12b	0.871693762063963
E3A2b	E3P13b	0.847505078329368
E3A2b	E3P14b	0.937968503825228
E3A2b	E3P15c	0.242663840154565
E3A2b	E3P16c	0.248760092064241
E3A2b	E3P17c	0.331681494876999
E3A2b	E3P18c	0.295696323912498
E3A2b	E3P19c	0.41031555030702
E3A2b	E3P1a	0.0222677233501328
E3A2b	E3P20c	0.168368594191148
E3A2b	E3P3a	0.36672065378406
E3A2b	E3P4a	-0.00333628877574345
E3A2b	E3P5a	0.190383442553374
E3A2b	E3P6a	0.0623144044901031
E3A2b	E3P7b	0.79021399484891
E3A2b	E3P8b	0.957373126921773
E3A2b	E3P9b	0.800242317462072
E3A2c	E3B1	-0.00217805240961232
E3A2c	E3L2	0.0200150438306304
E3A2c	E3L3	-0.188423980556267
E3A2c	E3L4	-0.240348373509732
E3A2c	E3N1	NA
E3A2c	E3N4	0.401802172048961
E3A2c	E3P10b	0.883026125289005
E3A2c	E3P11b	0.729279960565621
E3A2c	E3P12b	0.833735333399495
E3A2c	E3P13b	0.829255216202815
E3A2c	E3P14b	0.847167783902333
E3A2c	E3P15c	0.147854360658392
E3A2c	E3P16c	0.299905981997857
E3A2c	E3P17c	0.449249840728282
E3A2c	E3P18c	0.244246701316054
E3A2c	E3P19c	0.335722477378374
E3A2c	E3P1a	-0.0718524044154506
E3A2c	E3P20c	0.097039634003686
E3A2c	E3P3a	0.263687250993492
E3A2c	E3P4a	-0.0752404673840113
E3A2c	E3P5a	0.119440741067902
E3A2c	E3P6a	-0.0281442145506266
E3A2c	E3P7b	0.780964578085974
E3A2c	E3P8b	0.929668582510152
E3A2c	E3P9b	0.845690652009918
E3B1	E3L2	0.889399185060462
E3B1	E3L3	0.903486099556641
E3B1	E3L4	0.863830642429468
E3B1	E3N1	NA
E3B1	E3N4	-0.0338804381101787
E3B1	E3P10b	-0.0374421734066892
E3B1	E3P11b	0.123970117820656
E3B1	E3P12b	0.0911779941115246
E3B1	E3P13b	-0.0776762361247804
E3B1	E3P14b	0.102424515058198
E3B1	E3P15c	0.332390053103577
E3B1	E3P16c	0.554430647342594
E3B1	E3P17c	0.360860470753522
E3B1	E3P18c	0.29627128784857
E3B1	E3P19c	0.300634274628156
E3B1	E3P1a	0.936402207487159
E3B1	E3P20c	0.268506279359406
E3B1	E3P3a	0.876090051863384
E3B1	E3P4a	0.905148668856313
E3B1	E3P5a	0.962000820234692
E3B1	E3P6a	0.924271081432249
E3B1	E3P7b	0.00892927728805295
E3B1	E3P8b	0.0773644072655357
E3B1	E3P9b	0.146309365227273
E3L2	E3L3	0.955222289059291
E3L2	E3L4	0.929591374576384
E3L2	E3N1	NA
E3L2	E3N4	0.15220811898703
E3L2	E3P10b	0.0273893011038632
E3L2	E3P11b	-0.021621923113607
E3L2	E3P12b	0.286388251490979
E3L2	E3P13b	-0.0704205293879426
E3L2	E3P14b	0.135094007502229
E3L2	E3P15c	0.18748437192059
E3L2	E3P16c	0.255698130959078
E3L2	E3P17c	0.131740428359235
E3L2	E3P18c	0.288463026858547
E3L2	E3P19c	0.237379716808711
E3L2	E3P1a	0.934757902051811
E3L2	E3P20c	0.169169879742265
E3L2	E3P3a	0.914864526835831
E3L2	E3P4a	0.966982474237908
E3L2	E3P5a	0.941486891621246
E3L2	E3P6a	0.971535342129294
E3L2	E3P7b	0.104255967152898
E3L2	E3P8b	0.0494066524143539
E3L2	E3P9b	0.0317585192909613
E3L3	E3L4	0.985524677360553
E3L3	E3N1	NA
E3L3	E3N4	0.0784747303987011
E3L3	E3P10b	-0.163429961276727
E3L3	E3P11b	-0.170498394158078
E3L3	E3P12b	0.0419614514489523
E3L3	E3P13b	-0.27880128282148
E3L3	E3P14b	-0.0490930754309652
E3L3	E3P15c	0.167505263678826
E3L3	E3P16c	0.244444267723114
E3L3	E3P17c	0.0683877300893567
E3L3	E3P18c	0.217526606198185
E3L3	E3P19c	0.169011496516906
E3L3	E3P1a	0.938265666626394
E3L3	E3P20c	0.124794747498057
E3L3	E3P3a	0.857627151549178
E3L3	E3P4a	0.95757833384699
E3L3	E3P5a	0.892064802440983
E3L3	E3P6a	0.962492693917212
E3L3	E3P7b	-0.0543164321636286
E3L3	E3P8b	-0.156695358503724
E3L3	E3P9b	-0.13092836949293
E3L4	E3N1	NA
E3L4	E3N4	0.138041404070162
E3L4	E3P10b	-0.237877200987879
E3L4	E3P11b	-0.241754180830856
E3L4	E3P12b	0.0073704565595472
E3L4	E3P13b	-0.325469120884261
E3L4	E3P14b	-0.146142317049464
E3L4	E3P15c	0.0658717330383408
E3L4	E3P16c	0.181221033699649
E3L4	E3P17c	0.040934591603125
E3L4	E3P18c	0.134321511291681
E3L4	E3P19c	0.0667482256145336
E3L4	E3P1a	0.899231403577898
E3L4	E3P20c	0.0302307731121731
E3L4	E3P3a	0.805723522860087
E3L4	E3P4a	0.939877317916457
E3L4	E3P5a	0.840220783878598
E3L4	E3P6a	0.931981171960505
E3L4	E3P7b	-0.0799348216056009
E3L4	E3P8b	-0.241828580024966
E3L4	E3P9b	-0.200406685450021
E3N1	E3N4	NA
E3N1	E3P10b	NA
E3N1	E3P11b	NA
E3N1	E3P12b	NA
E3N1	E3P13b	NA
E3N1	E3P14b	NA
E3N1	E3P15c	NA
E3N1	E3P16c	NA
E3N1	E3P17c	NA
E3N1	E3P18c	NA
E3N1	E3P19c	NA
E3N1	E3P1a	NA
E3N1	E3P20c	NA
E3N1	E3P3a	NA
E3N1	E3P4a	NA
E3N1	E3P5a	NA
E3N1	E3P6a	NA
E3N1	E3P7b	NA
E3N1	E3P8b	NA
E3N1	E3P9b	NA
E3N4	E3P10b	0.357665047122671
E3N4	E3P11b	0.246279723055552
E3N4	E3P12b	0.390322967555221
E3N4	E3P13b	0.154987914213823
E3N4	E3P14b	0.112083167535056
E3N4	E3P15c	-0.169901745507231
E3N4	E3P16c	0.00861628995060099
E3N4	E3P17c	0.279335614488785
E3N4	E3P18c	0.177544907983499
E3N4	E3P19c	0.0781943901276633
E3N4	E3P1a	-0.0560913613777382
E3N4	E3P20c	-0.136076270177104
E3N4	E3P3a	0.129222696435253
E3N4	E3P4a	0.00854115285872211
E3N4	E3P5a	0.0213787721588629
E3N4	E3P6a	0.018700873768249
E3N4	E3P7b	0.586664567622017
E3N4	E3P8b	0.228117901217458
E3N4	E3P9b	0.26899964415368
E3P10b	E3P11b	0.663880588886191
E3P10b	E3P12b	0.814734300872052
E3P10b	E3P13b	0.78083344098037
E3P10b	E3P14b	0.90452565771004
E3P10b	E3P15c	0.377064535608432
E3P10b	E3P16c	0.23255692595744
E3P10b	E3P17c	0.308954857287443
E3P10b	E3P18c	0.488356069207479
E3P10b	E3P19c	0.578983050070994
E3P10b	E3P1a	-0.0905991690624327
E3P10b	E3P20c	0.316347225253745
E3P10b	E3P3a	0.29318267015588
E3P10b	E3P4a	-0.11998000385465
E3P10b	E3P5a	0.083467227780409
E3P10b	E3P6a	-0.0250936571520047
E3P10b	E3P7b	0.867086428126666
E3P10b	E3P8b	0.926150335126395
E3P10b	E3P9b	0.747115988106552
E3P11b	E3P12b	0.506564362536495
E3P11b	E3P13b	0.684890165379324
E3P11b	E3P14b	0.561496729680106
E3P11b	E3P15c	0.366390729690931
E3P11b	E3P16c	0.727690810406325
E3P11b	E3P17c	0.824937688887494
E3P11b	E3P18c	0.448503387563553
E3P11b	E3P19c	0.485261756559312
E3P11b	E3P1a	-0.107585499913351
E3P11b	E3P20c	0.40576379116262
E3P11b	E3P3a	0.104293628139305
E3P11b	E3P4a	-0.162072625847504
E3P11b	E3P5a	0.143520334572911
E3P11b	E3P6a	-0.0817517014539986
E3P11b	E3P7b	0.594510202125642
E3P11b	E3P8b	0.742441695277767
E3P11b	E3P9b	0.935881159286379
E3P12b	E3P13b	0.717942388694876
E3P12b	E3P14b	0.785382380386437
E3P12b	E3P15c	0.12825610494175
E3P12b	E3P16c	0.103074097716417
E3P12b	E3P17c	0.232982103968439
E3P12b	E3P18c	0.31107184318838
E3P12b	E3P19c	0.320030756159183
E3P12b	E3P1a	0.123989019024024
E3P12b	E3P20c	0.16389825848602
E3P12b	E3P3a	0.415606098553462
E3P12b	E3P4a	0.160213877721321
E3P12b	E3P5a	0.258933456157535
E3P12b	E3P6a	0.18828202459644
E3P12b	E3P7b	0.799835543873001
E3P12b	E3P8b	0.770201973003412
E3P12b	E3P9b	0.667990501805002
E3P13b	E3P14b	0.771999416493782
E3P13b	E3P15c	-0.00723865697556226
E3P13b	E3P16c	0.153219067661948
E3P13b	E3P17c	0.263228005623537
E3P13b	E3P18c	0.0271970518856136
E3P13b	E3P19c	0.143934923782442
E3P13b	E3P1a	-0.177765223213678
E3P13b	E3P20c	-0.00410411048541996
E3P13b	E3P3a	0.12790240671653
E3P13b	E3P4a	-0.15307067319376
E3P13b	E3P5a	0.050192167809417
E3P13b	E3P6a	-0.0983740772113528
E3P13b	E3P7b	0.517798601553115
E3P13b	E3P8b	0.815883626659785
E3P13b	E3P9b	0.755612076796182
E3P14b	E3P15c	0.342306437885599
E3P14b	E3P16c	0.178857821572319
E3P14b	E3P17c	0.170430575691082
E3P14b	E3P18c	0.320828596423734
E3P14b	E3P19c	0.482534708174336
E3P14b	E3P1a	0.100136125235927
E3P14b	E3P20c	0.234166190833984
E3P14b	E3P3a	0.443025908087363
E3P14b	E3P4a	0.056562861847748
E3P14b	E3P5a	0.247924241790524
E3P14b	E3P6a	0.149326183201785
