E3A1_3	E3A2a_1	E3A2b_2	E3A2c_1	E3B1_3	E3L2_1	E3L3_1	E3L4_3	E3N1_1	E3N4_3	E3P10b_1	E3P11b_1	E3P12b_1	E3P13b_1	E3P14b_1	E3P15c_1	E3P16c_2	E3P17c_3	E3P18c_3	E3P19c_1	E3P1a_1	E3P3a_1	E3P4a_1	E3P5a_1	E3P6a_1	E3P7b_1	E3P8b_1	E3P9b_1
579	892	1190	702	0	115	578	256	0	0	146	156	67	0	187	620	439	135	434	1359	0	387	66	193	280	0	343	80
3273	3838	4536	2714	166	664	2563	1319	0	0	914	619	271	141	914	2756	1309	868	1868	5182	224	1552	270	851	1063	227	1391	540
10993	15402	17684	9864	478	2118	8622	4653	221	331	2727	2595	787	705	3350	5761	3331	2068	4046	11805	755	3112	721	2967	3370	847	4759	1827
21941	27437	27809	20125	948	4541	14944	7356	764	1186	3758	4399	788	1909	5844	2660	2475	941	1801	5731	1393	1505	1144	4874	5535	2070	7680	3287
20463	21612	20173	20006	776	3746	8587	4033	1937	3597	2279	2819	678	2572	3882	3102	3245	1520	2525	7238	1183	1183	1150	2958	3008	2693	5198	2780
20092	19206	15687	23057	879	4892	8837	3886	2942	5713	840	1668	475	1561	1252	2783	2740	1874	2827	6436	1556	1842	1450	2986	2777	3035	2348	2675
14116	7362	4347	16461	643	4902	7048	3252	2853	5788	384	1062	187	361	591	828	1949	1107	1372	3010	1511	1666	1914	2382	2236	2165	854	1368
6907	3066	1386	7331	161	2052	2168	941	1400	3159	210	566	58	79	234	304	843	496	535	1123	398	472	308	819	641	910	364	680
4684	1874	734	4682	0	1135	976	291	758	1974	114	403	43	0	132	190	539	336	417	700	145	265	200	412	226	659	212	503
2356	857	341	2308	0	589	416	133	410	1044	57	247	0	0	71	93	243	147	304	375	75	103	69	234	103	343	121	270
