E10B10_3	E10B11_1	E10B12_3	E10B13_2	E10B14_1	E10B2_1	E10B3_2	E10B4_3	E10B5_3	E10B6_3	E10B7_3	E10B8_1	E10B9_2	E10H1a_3	E10H1b_3	E10H1c_2	E10L10_3	E10L1_1	E10L2_1	E10L3_3	E10L5_3	E10L6_3	E10L8_1	E10N1_3	E10OL1_3	E10P10b_1	E10P11b_1	E10P13b_1	E10P14b_3	E10P1a_3	E10P3a_3	E10P4a_1	E10P5a_3	E10P6a_3	E10P7a_1	E10P8b_3	E10P9b_3	E10X1_1	E10X2_2	E10X4_2	E10X5_3	E10X7_2	E10X8_2	E10X9_2
638	801	1142	1113	664	1077	1057	1175	1101	900	935	920	882	995	1409	1017	454	1227	702	744	687	838	532	347	721	1144	1193	1121	342	919	664	448	988	796	955	858	430	866	1109	1384	1529	1140	896	856
1809	2391	3123	2830	2055	2958	2898	3374	3046	2671	2535	2523	2400	3135	3824	2553	1408	3550	1842	2188	1952	2451	1355	423	2190	3114	3350	3313	848	2526	2018	1149	2898	2072	3013	2287	1486	2502	3486	4238	4607	3495	2353	2646
4079	6356	6749	5807	5435	7869	7633	8785	7522	6229	6435	5851	6361	6823	9792	5857	2968	7688	4353	5082	4345	6017	3059	894	5625	7219	7522	7408	2198	5828	5897	2669	8732	5693	7639	6603	3930	7161	9119	9428	10995	8230	5820	6243
7289	12891	14677	10960	11637	15188	16128	17896	16091	13800	13088	12374	13490	14074	19225	9684	6161	16866	8670	10934	8263	12135	5472	2013	13202	15649	16161	16208	4633	13002	13712	4920	16792	11813	16323	14133	9232	14876	18622	20005	22565	17257	11711	13417
11014	17916	22039	14184	16958	20775	23276	25097	23387	20732	18465	17785	19481	20471	26147	13527	8773	23963	16060	15868	12947	17203	7775	4174	21009	22847	23515	23795	7012	19093	21486	8280	21676	17071	24648	20361	14880	21153	26510	26131	26439	25092	16112	19454
12363	16735	22955	12463	16281	19432	23133	23926	22964	20755	17762	18005	19103	19374	23815	13713	8802	22999	21314	15812	14155	16685	9259	7943	23378	23103	23183	23432	9544	19259	23205	12129	17720	16796	26441	19603	16942	19911	25371	25846	26344	24512	15253	19538
11571	9900	19014	8870	10118	13510	16626	15698	15562	14567	11874	12893	12672	12203	13574	11545	7237	15024	22199	10886	12058	11699	9535	16106	18619	16579	15714	16521	11210	14242	17232	14374	8829	12177	19507	12667	14458	12518	15886	17555	19618	16372	10019	13346
10508	3937	12867	8457	4187	7565	9959	7331	7989	8082	6067	7436	6020	5021	5932	12504	5382	7238	18574	5563	9739	6976	9946	23503	7966	8072	8387	9378	12947	9218	7382	14321	4999	8434	9119	4529	7817	5250	6807	8532	10225	7650	4517	7292
9674	2717	9939	8178	2532	6107	7772	5146	5552	5548	4553	5749	4421	3200	4164	13306	4212	5155	15500	4000	8187	5417	9464	25328	3213	5334	5850	6587	13071	7329	3329	13447	4713	6321	5032	2504	4135	3220	4437	6140	7447	5541	3148	5602
6450	1666	7213	6162	1618	3979	5343	3525	3774	3843	3038	4123	2984	1955	3009	9583	2665	3314	10125	2553	5558	3389	6177	18642	1696	3528	3914	4246	9078	4776	1864	8990	3347	4536	3765	1381	2768	1954	2673	4476	4910	3691	1965	3867
2958	702	3142	2841	684	1814	2163	1502	1638	1904	1308	1677	1327	716	1247	4391	1258	1678	4682	1201	2511	1544	3005	6899	761	1459	1741	1938	3730	2098	762	4246	1632	2035	2819	561	1216	813	1218	1990	2301	1650	985	1817
737	210	718	779	200	390	492	443	411	451	324	493	315	131	493	1125	310	418	1121	303	514	356	632	1556	298	444	419	422	861	420	362	1179	339	453	2021	183	317	183	355	486	643	393	259	403
