E10B10_1	E10B11_2	E10B12_1	E10B13_1	E10B14_2	E10B2_2	E10B3_2	E10B4_2	E10B5_1	E10B6_2	E10B7_1	E10B8_1	E10B9_1	E10H1a_2	E10H1b_2	E10H1c_2	E10L10_2	E10L1_1	E10L2_1	E10L3_1	E10L5_1	E10L6_1	E10L7_2	E10L8_2	E10L9_1	E10N1_2	E10OL1_2	E10P10b_2	E10P11b_2	E10P13b_1	E10P14b_1	E10P1a_1	E10P3a_1	E10P4a_1	E10P5a_1	E10P6a_2	E10P7a_1	E10P8b_1	E10P9b_2	E10X1_1	E10X2_2	E10X4_2	E10X5_2	E10X7_2	E10X8_1	E10X9_2
720	831	473	503	847	510	791	749	489	524	516	545	549	648	904	895	518	442	835	527	348	503	1778	580	546	651	1777	705	542	649	672	843	316	806	562	568	685	527	352	620	849	812	974	573	585	428
1778	2340	1290	926	1894	1402	1839	1649	1330	1485	1138	1204	1485	1694	1805	2139	907	1082	1916	1379	770	1152	2730	653	1194	1894	2798	1762	1619	1692	1729	2030	753	1992	1371	1244	1520	1592	995	1594	2025	2041	2721	1429	960	963
3483	4676	2695	1655	4345	2857	4207	3732	3047	2948	2288	2628	2932	2963	3256	4165	1537	2357	4072	2684	1464	2146	3464	1139	1467	3639	4621	4312	3262	3588	3925	4228	1856	4692	2955	2599	3219	3102	2089	3469	4588	3772	5264	2987	1387	1935
7297	9383	5888	2828	8129	6051	7904	6794	5627	6086	4277	5099	6058	5556	5964	7871	2274	4641	7421	5246	2626	4287	3619	1715	1437	7655	6374	8819	7219	7392	7923	8327	3241	8154	6002	4996	5903	6165	4669	6626	9546	7695	9916	5793	1905	3689
9934	13458	8222	3585	11365	8384	11091	9349	8123	8630	5714	6820	8536	7569	7350	10565	2776	6516	9994	7158	3494	5584	2900	2075	1162	9996	7021	12628	10252	10454	10846	11467	6075	10352	8278	6676	8598	8589	6696	9830	13599	10308	14245	7890	2063	4823
9866	14160	8106	3385	12875	8930	11418	9751	8731	8553	5898	7126	8932	7959	7464	10734	2598	6886	9788	7490	3371	5116	1562	1960	910	9877	6601	13829	10744	11497	11414	11508	8289	9200	7748	6389	9671	9626	7258	10644	14827	10299	14948	8290	1837	4482
7664	12117	6320	2473	10271	6857	8963	8199	6841	6840	4709	5590	7546	6500	5839	8196	1623	5711	7303	5787	2313	3783	717	1490	298	7145	4591	11581	9104	9265	8641	9130	9429	6449	5684	4321	8469	8422	6120	8903	12281	8434	12655	6454	1249	3241
5682	9920	4930	1738	8483	5470	7096	6910	5505	5468	3748	4489	6184	5444	4624	6122	1147	4772	5529	4653	1672	2350	351	1067	170	4808	3330	9130	7089	7341	6188	6895	8603	3952	3904	2917	6360	6697	4722	7040	9616	6716	10497	5221	952	2078
3493	6878	2999	954	4635	3323	4436	4268	3539	3392	2415	2760	3915	3396	2834	3917	604	3173	3087	3000	969	1530	166	643	81	3004	2175	5158	3814	4183	3803	4083	5034	2484	2497	1764	3238	4156	2738	3593	5764	4194	6219	3289	551	1497
1217	2753	941	318	1606	1220	1660	1858	1342	1463	878	1027	1536	1527	1180	1524	167	1348	1023	1215	311	499	66	256	0	957	908	1648	1185	1463	1236	1538	1375	800	836	576	1048	1282	818	1221	1626	1654	2682	1330	221	408
