E11B1_2	E11B2a_1	E11B2b_1	E11B2c_1	E11B3_2	E11B4_1	E11H1_3	E11L1_1	E11L2p_3	E11L3_1	E11L5_1	E11L6_3	E11L7_1	E11N4_2	E11N6_1	E11P10_1	E11P11_1	E11P13_1	E11P1_1	E11P2_1	E11P3_2	E11P7_1	E11P8_2	E11P9_1	E11X2_3	E11X4_1
316	384	1802	806	197	953	436	146	213	121	628	267	123	108	0	964	1264	573	0	73	77	2179	968	1853	814	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1327	1826	7284	2778	881	3401	1773	822	1113	452	2784	1116	463	637	99	3429	4697	2642	229	313	295	10515	4959	6481	3247	250
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4825	5285	20587	6096	2998	7379	4706	1662	3262	1567	7320	3915	1602	2139	392	11319	15332	10503	1182	1301	1036	22233	11786	15605	10987	740
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6636	9866	26015	9704	4310	6655	10018	1911	7688	3117	13824	7754	3548	7305	1406	18247	24130	19755	2304	2576	2740	26439	13746	14491	18012	1929
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5270	8604	22269	11797	3305	6250	10988	1190	9305	3625	17098	6433	4659	13339	2564	13385	16251	20417	2812	2808	3457	11295	7925	12222	11645	2646
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2789	6195	11763	11520	1946	3635	10209	1497	6468	1849	20270	4350	2658	15452	2994	5744	5730	7908	1263	1139	1781	6299	3528	8810	4275	2630
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1739	3989	7240	8119	1315	2601	7262	1494	4394	926	15905	2985	1578	10703	1873	3489	3213	2688	662	556	802	4064	2584	3500	2670	2104
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	950	1900	1903	284	661	1657	274	954	239	3233	787	318	1856	412	848	804	777	167	87	209	1157	604	880	676	301
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
