E11B1_3	E11B2a_2	E11B2b_1	E11B2c_1	E11B3_3	E11B4_3	E11H1_1	E11L1_3	E11L2p_1	E11L3_1	E11L5_1	E11L6_3	E11L7_1	E11N4_1	E11N6_1	E11P10_1	E11P11_1	E11P13_1	E11P1_3	E11P2_1	E11P3_3	E11P7_1	E11P8_1	E11P9_1	E11X2_3	E11X4_3
692	587	2234	1274	866	918	692	387	646	358	1897	678	347	972	152	1315	2612	2570	224	471	263	4187	2791	2606	1919	227
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1611	1565	5517	3098	1665	1746	1797	832	1736	814	4631	1502	690	2688	330	2987	6063	5865	453	1215	573	9446	5931	6167	4577	487
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2160	2201	7393	4222	1898	2140	2446	1215	2521	1190	6399	2140	1023	3924	512	3893	7710	7159	689	1823	839	12060	7515	7828	5819	737
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2044	2457	6804	3769	1828	2352	2461	1510	2749	1289	6243	2427	1246	4106	544	3465	6063	5510	837	2032	997	10075	6381	6829	5226	842
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
935	1436	2811	1820	862	1350	1163	1204	1737	836	3685	1558	872	2617	319	1305	1924	2180	651	1453	666	4086	2924	2489	2320	522
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
