E11B1_2	E11B2a_1	E11B2b_1	E11B2c_2	E11B3_2	E11H1_3	E11L5_2	E11L6_2	E11L7_2	E11N2_3	E11N4_2	E11P10_1	E11P11_2	E11P13_2	E11P1_1	E11P7_1	E11P8_1	E11X2_2
41	76	81	120	1752	91	318	0	1068	192	88	68	63	138	49	313	889	191
61	236	233	223	3080	234	666	0	2530	554	194	183	157	323	113	676	1755	450
211	579	727	603	6975	602	1294	46	4830	1432	501	485	423	592	235	1432	2606	958
423	980	1491	1238	8889	1200	1664	83	5571	1940	790	902	857	959	382	2348	3496	1426
599	1434	2311	1742	8899	2054	2275	139	5373	1901	1180	1637	1365	1336	424	3284	4628	1821
883	1941	3237	2625	7168	3024	2687	225	4239	1388	1841	2135	1834	1528	353	4240	5443	2098
1283	2530	4347	3938	5131	3988	3384	369	2922	954	2941	2323	2623	1850	286	5299	6245	2436
1834	3066	5079	4923	4117	4869	3594	406	2145	675	3934	2201	3589	2188	171	6202	7259	2972
1864	2624	4260	4432	2917	4220	2695	329	1341	364	3391	1677	3431	1947	241	5403	6120	2967
236	303	501	354	470	538	361	32	319	76	430	166	378	253	0	766	846	208
