E11B1_2	E11B2a_2	E11B2b_1	E11B2c_1	E11B3_3	E11B4_2	E11H1_3	E11L2p_3	E11L3_1	E11L5_1	E11L6_1	E11L7_1	E11N2_1	E11N4_3	E11P10_1	E11P11_1	E11P13_1	E11P1_1	E11P3_1	E11P7_1	E11P8_3	E11P9_3	E11X2_1	E11X4_2
1108	1287	3088	2143	1756	2277	2244	1972	1205	1889	1077	1418	1092	1535	1894	2098	1173	892	683	3010	2048	2082	1314	274
2727	2045	5338	3716	2919	3758	3840	3396	2048	2900	1826	2650	2636	2778	3234	3496	2220	1699	1145	5208	3434	3789	2363	476
3403	3719	9672	6723	5235	6199	6670	6080	3521	5886	3251	4734	1798	5411	6197	6318	4327	3207	2247	9005	6026	6985	4416	861
5634	5625	13950	9808	7467	11314	10443	9177	4933	8020	4271	8012	2636	7896	9402	10513	6538	5378	3284	14189	9031	11105	6577	1330
8140	10495	21995	16575	12771	15136	18591	18142	8475	14757	6943	13048	3671	13854	17752	17201	11753	7580	5945	22808	14874	19037	11285	2381
9985	12018	22347	18840	13991	16501	21682	19959	8789	16854	8161	15705	3938	15473	20421	19359	14992	7411	7093	24192	16158	21430	12888	3141
8219	13712	21913	18105	13478	9840	22847	23873	9940	18703	7883	14969	3947	17192	23159	18536	16653	7448	7319	23379	15164	22009	13313	3432
3481	7128	9451	9190	6370	4881	11393	11441	6079	9062	4591	8502	2336	9267	12703	8839	12235	2867	3503	10744	7225	10986	7565	1998
1558	3068	4624	4372	3130	2313	5331	5417	2894	4884	2009	3887	931	4238	5291	3930	5319	1738	1671	5456	3797	5237	3094	602
679	1300	1973	1891	1362	1116	2639	2268	1453	1977	890	1871	336	2022	2270	1776	2243	1158	674	2372	1693	2263	1271	201
