E15B11c_2	E15B5b_2	E15B6c_2	E15B6d_2	E15B11a_3	E15B12_3	E15B1_1	E15B3_3	E15B5a_1	E15B9_1	E15L2_1	E15L3_2	E15L7_1	E15L8_1	E15L9_1	E15N1_3	E15N3_3	E15P10b_1	E15P12b_1	E15P13b_1	E15P14b_1	E15P3a_1	E15P4a_1	E15P5a_1	E15P6a_1	E15P7a_1	E15P9b_1	E15X2_3	E15X4_3	E15X6_3	E15X7_3	E15B11b_3	E15B2_3	E15B4_3	E15B6a_3	E15B6b_3	E15B7_3	E15B8_3	E15L1_3	E15L4_3	E15L5_3	E15L6_3	E15P11b_3	E15P15b_3	E15P1a_3	E15P8b_3	E15X8_3
199	192	80	266	340	130	86	139	55	216	86	148	98	173	199	217	120	266	359	152	210	306	135	435	370	205	260	318	219	84	228	450	183	83	236	189	217	232	110	289	101	0	204	96	181	155	292
751	771	391	760	1501	391	116	388	221	532	227	407	263	676	748	679	402	1045	1293	668	632	1095	442	1574	1201	834	1034	1045	625	264	785	1476	508	278	848	559	790	799	322	1026	526	70	709	448	704	565	867
2413	2401	1037	2198	4670	1125	352	1224	666	1469	618	1096	782	1952	2116	2071	1299	3179	3830	2100	1576	2999	1299	4432	3751	2508	2863	2718	1646	764	2376	3954	1522	765	2293	1702	2172	2125	879	2676	1480	245	1908	1288	2157	1692	2614
6088	6298	2811	5634	11922	3077	941	3069	1582	3545	1361	2776	2000	4816	5644	4908	3393	8244	9321	5011	3873	7140	3128	10976	9749	6306	6588	6785	3443	2263	6299	10781	4033	2024	7086	4412	5931	6165	2589	7157	4021	793	5452	3831	5703	4679	7094
10201	10798	4956	9458	20192	4971	1653	5405	2881	6200	2165	4606	3506	7739	8984	10413	6890	13846	14848	8881	6198	11202	5698	16181	15998	10857	9990	10352	4775	3736	10941	17997	6973	3930	12250	7931	10310	10637	4169	11835	7515	1407	9931	6604	9756	6963	12163
12519	14218	6392	11281	25458	5958	2076	6944	4032	8092	2765	5645	4529	8992	10662	15747	10674	16778	17305	11717	7542	13219	7833	16964	18819	13565	11109	11303	4847	4232	14540	23133	9177	5555	15896	10493	12073	13015	5063	14229	9553	2097	12887	8559	11865	7539	15152
10942	13944	6087	9783	22141	5189	1993	6720	4125	8104	2664	4863	4235	7281	8617	17433	11890	15045	14441	11233	7440	11010	7927	12617	15160	12591	9171	9523	3427	3662	12851	20201	8366	5450	14208	10147	10034	11293	4053	11616	9168	2190	12400	7394	10878	5615	13663
4660	7895	3282	4447	10795	2812	1161	3905	2498	4705	1519	2160	2022	2641	3050	12331	8233	7239	6834	6379	4785	4416	4721	5257	5720	6156	4879	5074	1188	1748	6516	9658	4669	3551	7044	6053	4000	5032	1574	4253	4844	1468	7027	3657	4944	2317	6685
1042	1769	831	1108	2503	627	316	890	569	1147	433	377	435	518	713	2952	2168	1684	1576	1395	1099	941	1113	1383	1483	1454	1396	1422	395	495	1334	2088	1031	782	1484	1450	833	1037	276	891	1085	326	1329	768	1061	629	1686
197	317	164	253	479	123	62	184	94	188	79	81	0	79	92	569	396	339	230	255	144	154	240	288	283	303	281	253	96	120	268	380	228	159	182	221	140	160	0	146	201	90	222	118	145	100	305
