E15B11a_2	E15B11b_2	E15B11c_2	E15B12_2	E15B1_3	E15B2_1	E15B3_3	E15B4_1	E15B5a_1	E15B5b_1	E15B6a_2	E15B6b_1	E15B6c_1	E15B6d_2	E15B7_2	E15B8_2	E15B9_2	E15L1_3	E15L2_3	E15L3_1	E15L4_1	E15L5_2	E15L6_2	E15L7_1	E15L8_2	E15L9_3	E15N1_2	E15N3_1	E15P10b_3	E15P11b_3	E15P12b_1	E15P13b_3	E15P14b_3	E15P15b_2	E15P1a_2	E15P3a_2	E15P4a_3	E15P5a_3	E15P6a_3	E15P7a_2	E15P8b_2	E15P9b_2	E15X2_3	E15X4_2	E15X6_2	E15X7_2	E15X8_2
314	277	186	95	143	412	275	242	149	305	190	121	144	139	112	181	159	108	0	43	260	141	0	55	95	90	250	202	368	430	230	165	151	165	209	296	93	278	184	186	111	114	96	151	87	178	200
1029	840	525	283	227	1055	665	676	455	886	510	351	431	493	384	524	531	271	53	169	641	437	52	170	272	290	652	595	970	1130	687	379	438	453	678	686	273	817	564	574	305	497	259	355	213	543	603
2748	2032	1264	794	412	2588	1603	1730	1139	2366	1306	919	1062	1464	1055	1482	1299	611	156	567	1605	1183	131	369	783	832	1634	1640	2578	2816	1750	930	1079	1220	1831	1471	615	2080	1455	1440	833	1322	658	609	598	1503	1544
6607	4634	3111	1792	927	6882	3745	4144	2682	6234	3316	2596	2515	3410	2755	3849	3221	1604	475	1614	3829	2992	315	858	2067	2205	3736	4098	6733	6837	4444	2367	2760	3052	4700	3581	1543	5400	3705	4024	2337	3570	1556	978	1524	3670	3674
13002	8723	6086	3690	1881	13428	7162	9015	5779	13674	6881	5545	5262	6774	5414	7650	7070	2981	896	2967	7050	6141	827	1472	3983	4392	7928	9459	13460	13146	8798	5130	5887	6537	9028	6097	3470	9730	7037	7744	4650	6961	2958	1365	3006	7662	7505
17172	11518	7744	4971	2750	17668	9734	12826	8254	19352	9486	7791	7099	8779	7038	10232	9992	3763	1214	3691	8524	8716	1306	1855	4813	5463	12359	14282	18038	17169	11975	7275	8138	8696	12052	7354	4968	12086	8727	10395	6078	9277	3884	1430	3938	10055	10249
15115	10174	6400	4686	2695	16059	9038	12627	7958	18513	8331	7073	6638	7299	5671	9072	9340	2986	1142	3101	7003	7866	1316	1523	3836	4279	12824	14583	15679	15852	10275	6591	7762	7863	10153	5907	4629	9481	6940	8883	5031	8184	3340	955	3308	9138	9109
8565	5751	3577	2753	1646	8813	5129	7252	4646	10552	4692	4002	3657	3904	2801	4835	5534	1605	646	1581	3597	4598	762	839	1925	2230	7895	8987	9219	8756	5723	3923	4600	4220	5791	2999	2654	4168	3598	4879	2786	4611	1806	398	1780	5146	5327
2795	1723	1064	772	519	2563	1589	1913	1410	2964	1425	1034	871	1362	734	1372	1716	479	191	515	1102	1289	130	249	625	652	2342	2513	2997	2707	1607	1027	1336	1140	1782	796	680	1008	917	1379	866	1371	548	132	563	1506	1626
812	450	290	213	150	657	451	433	416	738	404	239	210	445	195	355	507	144	52	147	347	418	0	85	183	210	570	694	935	764	453	291	367	298	511	190	179	233	272	410	236	380	173	41	162	445	448
146	77	48	0	39	149	116	0	136	158	69	0	0	123	0	87	143	0	0	0	88	118	0	0	49	43	121	132	190	166	65	53	76	43	131	0	43	41	56	83	63	73	0	0	0	103	93
