E15B11a_1	E15B11b_2	E15B11c_1	E15B12_3	E15B2_2	E15B3_1	E15B4_1	E15B5a_3	E15B5b_2	E15B6a_3	E15B6b_3	E15B6c_3	E15B6d_1	E15B7_3	E15B8_2	E15B9_2	E15L1_3	E15L4_2	E15L5_3	E15L8_2	E15L9_3	E15N1_1	E15N3_3	E15P10b_1	E15P12b_3	E15P13b_2	E15P14b_3	E15P15b_3	E15P1a_2	E15P4a_3	E15P5a_3	E15P6a_3	E15P7a_3	E15P8b_3	E15P9b_3	E15X2_1	E15X4_1	E15X6_1	E15X7_1	E15X8_1
243	431	329	214	414	425	378	265	138	370	391	215	93	357	220	392	238	261	220	85	286	281	224	212	385	240	343	374	34	252	171	657	484	86	616	213	215	131	262	336
1234	1695	1355	833	1409	1357	1276	1108	907	1313	1350	1115	1106	1408	1310	1439	1051	1408	1383	697	1185	1107	1031	1203	1461	1282	1233	1591	223	1226	1065	1908	1798	1267	1598	1313	1043	756	1209	1317
4496	4521	3799	2911	4457	4126	4261	3155	3485	4430	4366	3270	4013	4502	3992	4193	3717	4438	4089	2544	3808	3765	3955	4095	4093	4397	3930	4304	714	4103	3764	5035	4351	4127	4253	4427	3448	2118	3536	4419
12642	11196	10695	7608	11654	10103	10169	7899	8378	11137	11119	9619	11056	11946	11166	10248	8932	12395	10820	6889	10130	8825	10044	11003	11262	10328	9385	11355	2514	9702	10160	14117	11045	9940	10166	11213	9709	5878	10225	10865
22867	16972	17562	13047	20574	18022	17854	13265	12424	17742	18549	16666	19089	19232	16817	16756	13634	20745	17836	10500	15513	15080	17299	19471	18406	16603	15340	17839	5304	16987	16931	22357	18229	16533	17488	18349	14808	10045	16079	17844
24478	21640	21767	17308	25352	23065	23766	17633	15891	22524	24070	21358	23749	23996	20332	21182	16808	24755	23115	12186	19357	20625	24167	24950	23406	20801	20995	22803	6547	22395	21874	27211	23786	21193	22728	23266	17566	12381	20096	22607
24712	19957	19774	16479	25202	21741	24319	17648	16933	21195	22985	19724	21138	21067	18753	20208	15073	21339	22395	10813	17179	21684	25376	23126	22015	20142	20915	21015	5640	21269	19926	24266	22647	18989	21226	21635	15129	11606	19110	21523
11872	8989	8292	7748	12664	10173	13400	9530	8491	9891	11049	8966	7985	8153	8195	9829	5529	8024	10267	3605	6742	12490	14193	9912	9868	9770	11256	9568	2286	10355	8030	8913	10004	7782	9544	9301	5876	5186	8932	9278
2732	2267	1824	1783	3041	2504	2966	2303	2211	2377	2665	1853	2013	1721	1858	2486	1448	1663	2393	851	1401	2639	3260	2324	2403	2328	2463	2580	387	2504	2047	1843	2333	2002	2271	2425	1143	1114	2087	2120
273	337	150	315	583	351	514	432	313	356	304	144	261	184	308	353	297	214	357	133	220	344	520	369	381	369	408	630	48	341	302	267	413	276	315	354	161	93	277	354
