E15B11a_3	E15B11b_2	E15B1_2	E15B2_3	E15B3_3	E15B6a_3	E15B6b_3	E15B6c_3	E15B7_3	E15B8_2	E15L1_1	E15L3_3	E15L9_2	E15N1_1	E15P10b_3	E15P15b_1	E15P6a_2	E15P7a_2	E15X6_1	E15B11c_3	E15B12_3	E15B4_2	E15B5a_2	E15B9_3	E15P11b_1	E15X7_2	E15X8_2	E15B5b_1	E15B6d_1	E15L2_1	E15L4_1	E15L5_1	E15L6_1	E15L7_1	E15L8_1	E15N3_1	E15P12b_1	E15P13b_1	E15P14b_1	E15P1a_1	E15P3a_1	E15P4a_1	E15P5a_1	E15P8b_1	E15P9b_2	E15X2_2	E15X4_2
110	176	723	88	79	99	89	71	64	108	1016	0	101	88	113	782	77	83	86	122	66	94	79	262	94	86	163	130	166	691	88	178	0	0	57	184	121	87	64	156	95	88	64	497	4887	32	0
283	310	1357	221	216	236	165	172	216	320	2034	42	235	116	471	1653	196	150	189	296	124	180	106	646	215	259	388	265	657	1151	285	227	89	74	172	354	320	195	139	285	241	198	183	1422	9348	101	0
915	888	1796	636	555	663	435	469	551	877	2952	198	765	295	1119	1862	561	415	607	787	298	437	273	828	704	704	901	680	1297	1646	873	691	147	213	621	805	969	645	304	883	765	407	528	2082	9965	251	32
2779	2542	1942	1635	1646	1724	1081	1267	1614	2388	2954	463	1999	767	2153	2639	1707	1171	1415	2222	930	1221	833	1671	1691	1977	1931	1815	2781	2115	2525	1820	275	627	1953	1478	2650	1691	986	2223	1766	1075	1565	2630	7749	678	201
6867	6198	2499	3964	4087	4090	2734	2808	3972	5872	3982	786	4020	1979	4586	4058	3901	2916	3294	5121	2226	3174	1971	3544	3940	4597	4176	4206	6270	2474	5835	4432	571	1295	4794	2688	6393	3478	2468	4610	3834	2800	3807	3711	3702	1529	476
11966	10992	3708	7219	7223	8475	5236	5678	7455	10478	3877	1445	7104	3686	8556	6711	7447	5499	5539	9267	3849	5173	3240	5924	7721	8048	8142	7465	11287	2973	10770	9127	1000	2539	9134	4861	12010	6590	4090	8670	7164	5049	7503	6172	2318	2804	906
17616	15843	5612	11407	10693	13211	8519	9254	10986	15375	4619	2276	9672	7141	11145	10289	11734	9268	8648	13716	6179	9261	6014	8607	11319	12230	12310	12988	14570	3282	15439	13046	1816	3574	12630	8528	16722	10119	6894	12080	9822	8084	11781	8462	2069	4194	1462
21073	17980	4831	13626	12847	15215	11002	11079	12175	16494	4586	2771	9945	11027	11707	11439	13837	11858	9876	15653	7756	11653	8036	10459	13247	13343	14183	16738	15325	3469	15629	15074	2367	3803	13627	12552	18775	11888	8879	13426	10585	10193	14307	9347	1745	5033	1908
19114	16071	4609	14011	12122	14538	11382	10998	10334	14410	3544	2588	8609	13491	9623	10738	13406	11999	9500	13942	7670	12479	9134	10388	12728	12135	13792	18567	12271	3414	12714	13743	2572	3095	11116	14555	16166	11941	9258	11863	9114	10081	14350	8568	1278	5066	1892
13063	11476	3164	10044	8370	10376	9153	8256	6326	8721	2177	1751	4842	12361	6380	7346	9259	9561	6499	9796	5710	9881	7460	7526	8681	7999	9517	14566	6349	2464	6204	9216	2025	1664	6208	13047	10585	8634	7670	7067	5209	8002	9977	5811	1004	4081	1382
6836	6141	1703	5187	4340	5265	5396	4592	3038	4045	1315	848	2333	7965	3649	3775	4825	5160	3239	5647	3205	5717	4495	4154	4605	4332	5056	8382	3254	1504	2725	4896	1222	851	2996	7538	5660	5064	4621	3676	2506	4553	5152	3412	572	2453	743
2945	2785	757	2186	1947	2305	2313	2083	1064	1642	594	337	801	2915	1475	1512	1997	2268	1467	2651	1487	2588	1959	1873	1862	1913	2298	3575	1184	714	892	2004	570	305	759	2926	2216	2358	1929	1365	1055	1907	1818	1438	278	1125	278
981	883	236	736	635	690	811	748	339	469	206	127	206	987	486	508	646	705	512	946	543	875	717	605	634	664	811	1145	353	243	246	608	191	102	228	964	743	831	643	389	316	684	575	488	93	403	79
